-265,-285
-265.0,-285.0,0.0
-264.861857636,-285.000045799,-0.0379914999924
-264.681149854,-285.000150221,-0.0282249999905
-264.456876876,-285.000341286,-0.0693989999843
-264.206598353,-285.000772375,-0.127977499971
-263.956653475,-285.001386671,-0.153656499965
-263.672256776,-285.002216262,-0.180608499956
-263.353408434,-285.003299879,-0.208833499953
-262.663703251,-285.00636303,-0.300092499929
-262.284401004,-285.008504936,-0.346994999922
-261.887874875,-285.011070917,-0.39453399992
-261.474457751,-285.013972832,-0.409809999913
-261.052594776,-285.016987123,-0.408954499901
-260.613173736,-285.020248915,-0.441634999906
-260.147750195,-285.024039901,-0.491719999889
-259.20945912,-285.031972591,-0.477059999885
-258.735923413,-285.035919823,-0.478113999904
-258.253608979,-285.040019686,-0.495935999869
-257.762849131,-285.04427491,-0.497626499887
-257.271757405,-285.048688507,-0.53221649986
-256.737439266,-285.053897324,-0.584847499874
-256.203126138,-285.059596955,-0.637478499856
-255.70293683,-285.065530171,-0.721735999824
-255.194310142,-285.072239947,-0.789861999815
-254.660020828,-285.079851405,-0.842492999797
-254.117292106,-285.088005321,-0.878992499801
-253.583015279,-285.096447921,-0.931623499782
-253.057854359,-285.105001321,-0.934586999769
-252.541140384,-285.113516637,-0.953681999765
-252.007205622,-285.122496707,-0.973413499792
-251.490497536,-285.131362172,-0.992508499788
-250.956568982,-285.140704062,-1.01223999975
-250.422643677,-285.150229825,-1.03197149978
-249.879614578,-285.160340523,-1.10137049974
-248.820246261,-285.181220934,-1.15696499974
-247.74400319,-285.203175521,-1.18029649975
-247.193215698,-285.214463123,-1.16776499973
-246.659648289,-285.225278112,-1.15459699974
-246.117302061,-285.236225737,-1.15819699976
-245.557404064,-285.247726776,-1.19533299973
-244.997843444,-285.259422998,-1.19956949975
-244.446729902,-285.271061039,-1.21993749974
-243.912842636,-285.282522217,-1.23966899971
-243.361737374,-285.294545962,-1.2600369997
-242.810636421,-285.306765618,-1.28040499973
-241.863768978,-285.327946483,-1.2825129997
-241.3130025,-285.34021668,-1.26998149971
-240.762233351,-285.352366415,-1.25744999972
-240.228353703,-285.364177135,-1.27718149972
-239.668480797,-285.376840873,-1.31431749969
-239.108616217,-285.389867488,-1.35145349969
-238.574756665,-285.402554113,-1.37118499969
-238.032455696,-285.415551818,-1.37478499967
-237.455384209,-285.429591361,-1.41255749968
-236.912434249,-285.443308869,-1.48195649967
-236.361055765,-285.457829947,-1.53522399965
-235.801245571,-285.473015043,-1.57235999966
-235.276213138,-285.48744064,-1.57532349964
-234.73429081,-285.502205658,-1.54602399967
-234.183257715,-285.517175923,-1.56639199964
-233.632229977,-285.532342074,-1.58675999963
-233.09842703,-285.547221079,-1.60649149963
-232.004846049,-285.578434698,-1.66335899972
-231.471063471,-285.594027333,-1.6830904994
-230.945731237,-285.609628209,-1.71895349954
-230.411635587,-285.625902164,-1.7715844998
-229.877555111,-285.642666725,-1.82421549975
-229.34349026,-285.659921877,-1.8768464997
-228.817885736,-285.677461087,-1.94560899947
-228.309846423,-285.694875713,-1.9808354996
-227.767386803,-285.713810149,-2.01733499942
-227.242154518,-285.732475355,-2.05319799955
-226.708490386,-285.751699445,-2.07292949954
-225.796435832,-285.784718132,-2.07376449958
-225.245563998,-285.804763151,-2.09413249957
-224.186716477,-285.843995148,-2.1497269997
-223.652758275,-285.864284159,-2.20235799965
-223.110375916,-285.885315759,-2.23885749946
-222.568333956,-285.906524126,-2.24245749964
-222.05162181,-285.926992491,-2.29445199959
-221.518043355,-285.948463491,-2.31418349927
-220.992914823,-285.969849654,-2.35004649941
-220.476242024,-285.991288256,-2.40204099935
-219.951473523,-286.013314894,-2.40500449953
-219.435148208,-286.035086704,-2.42409949953
-218.901293286,-286.057932441,-2.47673049948
-218.393437229,-286.080055684,-2.51195699929
-217.868385646,-286.103254354,-2.54781999942
-217.222887735,-286.13220476,-2.58813849924
-216.706634646,-286.155626783,-2.60723349954
-216.207597441,-286.178431616,-2.62569199923
-215.682592943,-286.202672493,-2.66155499967
-215.149163007,-286.227561749,-2.68128649936
-214.62483397,-286.251979573,-2.65135049926
-214.108607036,-286.275971142,-2.67044549957
-213.583947477,-286.300455829,-2.67340899943
-213.059289185,-286.324967654,-2.67637249929
-212.517424975,-286.350314437,-2.67997249947
-211.984003068,-286.37537516,-2.69970399946
-211.467796565,-286.399802378,-2.71879899946
-210.934391762,-286.425224569,-2.73853049914
-210.400995746,-286.450830453,-2.75826199945
-209.867283145,-286.476789351,-2.8108929994
-208.81808855,-286.528357876,-2.81681999943
-208.29381874,-286.554015934,-2.78688399934
-207.760769941,-286.579902656,-2.77371599938
-207.22738975,-286.605836095,-2.79344749938
-206.18662305,-286.656819593,-2.81550599923
-205.687672038,-286.681438291,-2.83396449923
-205.163084494,-286.707420227,-2.8369279994
-204.620968326,-286.73445748,-2.87342749922
-203.570878068,-286.788125734,-2.97805299912
-203.037593757,-286.815961226,-2.99778449943
-202.529959888,-286.842701989,-3.03301099956
-202.014229171,-286.869965952,-3.01920649929
-201.472526325,-286.89855455,-3.02280649915
-200.948027264,-286.926265337,-3.02576999932
-200.457933547,-286.952178352,-3.0274604995
-199.941875224,-286.979558077,-3.04655549918
-199.408624574,-287.00803114,-3.06628699949
-198.875383761,-287.036687843,-3.08601849917
-198.35935369,-287.064594981,-3.10511349917
-197.834245898,-287.093396842,-3.17387599926
-197.309497354,-287.122659574,-3.20973899907
-196.801641403,-287.151442611,-3.27786499947
-196.276946833,-287.181657687,-3.31372799928
-195.760383682,-287.211950702,-3.39862199919
-195.25294931,-287.242242155,-3.43384849932
-194.728338943,-287.27388556,-3.46971149914
-194.194989813,-287.306469468,-3.52234249909
-193.670428945,-287.338923102,-3.55820549921
-193.17216269,-287.36984344,-3.54376449926
-192.639179202,-287.402942887,-3.56349599925
-192.106207145,-287.436225881,-3.58322749925
-191.590438677,-287.468609987,-3.60232249893
-191.083115206,-287.500705297,-3.63754899906
-190.558620654,-287.534213616,-3.67341199919
-189.501256579,-287.602612693,-3.729006499
-189.002761475,-287.635182997,-3.74746499899
-188.487087955,-287.669045411,-3.76655999899
-187.962670182,-287.70373463,-3.80242299913
-187.455461895,-287.737601524,-3.83764949894
-186.957029447,-287.771117004,-3.85610799925
-186.441421063,-287.805957165,-3.87520299893
-185.916747804,-287.841813974,-3.94396549901
-185.409624728,-287.876933762,-3.97919199914
