-265,-285
-265.0,-285.0,0.0
-264.862190936,-285.000103963,-0.0432239499802
-264.681316881,-285.000481279,-0.119522899945
-264.457379611,-285.001544176,-0.271946849876
-264.207607244,-285.003364437,-0.417545799809
-263.957836933,-285.005447887,-0.477919749782
-263.67361693,-285.007979304,-0.510293699767
-263.354947599,-285.010989832,-0.541267649753
-262.665947423,-285.018894322,-0.6572915997
-262.287000164,-285.02348253,-0.693690549684
-261.890839381,-285.029139612,-0.818114499627
-261.477450738,-285.03479391,-0.783638449643
-261.055616405,-285.040560228,-0.782687894073
-260.616395602,-285.04689735,-0.826611844053
-260.151338281,-285.053607243,-0.826611844053
-259.212615562,-285.067432252,-0.843760794046
-258.739114824,-285.07441056,-0.844931905178
-258.256825225,-285.080795477,-0.758480855218
-257.766090039,-285.087300248,-0.760359188571
-257.275190432,-285.093971201,-0.778558138563
-256.74123728,-285.101781813,-0.838057088536
-256.207293424,-285.110203986,-0.903681038506
-255.707804049,-285.11848402,-0.949704988485
-255.199712604,-285.127479452,-1.01427893846
-254.665795737,-285.137467162,-1.07167788843
-254.123276349,-285.148088212,-1.12155183841
-253.589384964,-285.159356016,-1.20905078837
-253.064271647,-285.170453655,-1.21234356613
-252.547590408,-285.180765896,-1.14339251616
-252.013675498,-285.190857635,-1.08284146619
-251.496972971,-285.200041483,-1.01826541622
-250.963041357,-285.209206921,-0.983439366234
-250.429109742,-285.21837236,-0.983439366234
-249.886566327,-285.227685628,-0.983439366234
-248.827314898,-285.245868675,-0.983439366234
-247.750815903,-285.262894091,-0.90608831627
-247.199644663,-285.27137036,-0.881062266281
-246.665689847,-285.279066385,-0.825761216306
-246.123289748,-285.28690307,-0.829761216326
-245.563493086,-285.294593364,-0.787060166346
-245.003863361,-285.302304357,-0.791767388589
-244.452679579,-285.309921622,-0.791767388589
-243.91872471,-285.317613966,-0.825366338573
-243.367545491,-285.325554451,-0.825366338573
-242.816366271,-285.333494935,-0.825366338573
-241.869360503,-285.347157199,-0.827708560767
-241.318171096,-285.354355897,-0.748257510803
-240.766973445,-285.360892961,-0.679481460835
-240.233002264,-285.367354574,-0.693305410828
-239.673201601,-285.374747793,-0.756654360799
-239.113412127,-285.382944606,-0.838903310762
-238.579461796,-285.390945752,-0.858502260753
-238.037066263,-285.399092385,-0.862502260737
-237.460054471,-285.407675076,-0.852176210742
-236.917503449,-285.41653416,-0.935475160704
-236.366357864,-285.42654053,-1.04012411066
-235.806617611,-285.437599099,-1.13182306061
-235.281489813,-285.447988939,-1.13511583838
-234.738978474,-285.459013478,-1.16416478836
-234.187846598,-285.469748402,-1.11586373839
-233.636705962,-285.480023761,-1.06808768841
