-265,-285
-265.0,-285.0,0.0
-264.861857639,-285.000050888,-0.0422127777693
-264.681149863,-285.000166912,-0.0313611111005
-264.456876906,-285.000379207,-0.0771099999825
-264.206598472,-285.000858194,-0.14219722219
-263.956653772,-285.001540745,-0.170729444406
-263.672257358,-285.002462513,-0.200676111062
-263.353409448,-285.003666531,-0.23203722217
-262.664369582,-285.00645703,-0.23203722217
-262.285065139,-285.008165653,-0.28415111105
-261.888536535,-285.010314988,-0.33697222216
-261.475116741,-285.012807689,-0.353945555486
-261.053251026,-285.015410305,-0.352994999916
-260.6138271,-285.018256847,-0.389306666589
-260.148400459,-285.021645362,-0.44495666657
-259.21010312,-285.028798903,-0.428667777677
-258.736564253,-285.032346667,-0.429838888809
-258.254246599,-285.036048485,-0.449641110992
-257.76348348,-285.039907979,-0.451519444345
-257.272388498,-285.043942855,-0.489952777649
-256.738066913,-285.048784803,-0.548431666553
-256.203750549,-285.054172104,-0.606910555422
-255.704220575,-285.059463617,-0.606910555422
-255.196078015,-285.064846362,-0.606910555422
-254.661767427,-285.07077901,-0.66538944429
-254.119016326,-285.077274501,-0.705944444295
-253.58471679,-285.084130678,-0.764423333163
-253.059533166,-285.091153032,-0.767716110927
-252.542796713,-285.098172979,-0.788932777588
-252.00883848,-285.105627946,-0.810856666507
-251.492107459,-285.113036965,-0.832073333169
-250.958154991,-285.12089397,-0.853997222018
-250.424205568,-285.128955289,-0.875921110937
-249.881645632,-285.137250433,-0.875921110937
-248.822204268,-285.154019365,-0.937692777604
-247.745885463,-285.171879344,-0.963616666508
-247.19505911,-285.181077222,-0.949692777594
-246.661454291,-285.189854525,-0.935061666493
-246.119070129,-285.198725906,-0.939061666513
-245.559132579,-285.208105625,-0.980323888704
-244.999532047,-285.217704251,-0.985031110947
-244.448378981,-285.22728951,-1.00766222205
-243.914453099,-285.236782829,-1.0295861109
-243.363307653,-285.246796679,-1.05221722201
-242.812166206,-285.257028224,-1.07484833315
-241.865228904,-285.274813875,-1.07719055534
-241.314421866,-285.285103604,-1.06326666646
-240.763612345,-285.295259476,-1.04934277758
-240.22969351,-285.305141204,-1.07126666647
-239.669779094,-285.315812903,-1.11252888866
-239.109872508,-285.326887828,-1.15379111089
-238.575972574,-285.337742856,-1.17571499977
-238.033630458,-285.348892271,-1.17971499976
-237.456514961,-285.360988168,-1.2216844442
-236.914014963,-285.372557332,-1.2216844442
-236.36257683,-285.384602056,-1.2808705553
-235.802705201,-285.397322002,-1.32213277752
-235.27761481,-285.40945601,-1.32542555529
-234.735632887,-285.42184188,-1.29287055532
-234.184539276,-285.434388228,-1.31550166639
-233.633450663,-285.44715225,-1.3381327775
-233.099588417,-285.459724971,-1.36005666638
-232.005884773,-285.486295022,-1.42324277759
-231.472041793,-285.499660754,-1.44516666613
-230.946649774,-285.513098301,-1.48501444406
-230.412492854,-285.52721867,-1.54349333324
-229.878350624,-285.541884219,-1.60197222207
-229.34422364,-285.557094932,-1.66045111091
-228.819047048,-285.572318989,-1.66045111091
-228.310927866,-285.587222283,-1.69959166661
-227.768382418,-285.603512969,-1.74014666641
-227.243066544,-285.619655239,-1.77999444434
-226.709317132,-285.63634466,-1.80191833322
-225.797116625,-285.66504968,-1.80284611103
-225.246156513,-285.682500614,-1.82547722214
-224.187138536,-285.716824435,-1.88724888895
-223.653093907,-285.734694375,-1.94572777778
-223.110623448,-285.753315617,-1.98628277757
-222.568493329,-285.772136216,-1.99028277777
-222.051697023,-285.79035625,-2.04805444438
-221.518031535,-285.809542641,-2.06997833291
-220.99281729,-285.828708686,-2.10982611084
-220.476060124,-285.848006937,-2.16759777745
-219.951205944,-285.867887654,-2.17089055542
-219.434796343,-285.887559114,-2.19210722208
-218.900854356,-285.908270323,-2.25058611092
-218.392915624,-285.928406259,-2.28972666626
-217.86777875,-285.949586529,-2.32957444419
-217.222176286,-285.976103202,-2.37437277732
-216.705839804,-285.997608529,-2.39558944433
-216.20672214,-286.018578757,-2.41609888842
-215.681633259,-286.040917222,-2.45594666669
-215.148117882,-286.063902293,-2.47787055523
-214.623704806,-286.086443232,-2.4446083329
-214.107395074,-286.10858149,-2.46582499991
-213.582651483,-286.131193816,-2.46911777754
-213.057909194,-286.153836298,-2.47241055515
-212.51595827,-286.177255884,-2.47641055535
-211.982451136,-286.200431505,-2.49833444423
-211.46616239,-286.223053896,-2.5195511109
-210.932672858,-286.246631211,-2.54147499943
-210.399192386,-286.270412662,-2.56339888867
-209.865395823,-286.294583496,-2.6218777775
-208.816037093,-286.34269655,-2.62846333309
-208.291685073,-286.366615745,-2.59520111076
-207.758552346,-286.390712205,-2.5805699997
-207.225088226,-286.414857663,-2.60249388859
-206.184158409,-286.462394513,-2.62700333287
-205.685129514,-286.485380468,-2.64751277731
-205.160460266,-286.509656665,-2.65080555528
-204.618260027,-286.534951931,-2.69136055508
-203.568624675,-286.584292856,-2.69136055508
-203.035208241,-286.609469807,-2.71328444432
-202.527448681,-286.633706956,-2.75242500002
-202.011590301,-286.658438087,-2.73708666638
-201.469753345,-286.684360939,-2.74108666622
-200.945124445,-286.70949398,-2.7443794442
-200.454909414,-286.73300055,-2.74625777772
-199.93872339,-286.757856744,-2.76747444403
-199.405340873,-286.783742283,-2.78939833327
-198.8719683,-286.809831916,-2.81132222181
-198.355810835,-286.835274268,-2.83253888847
-197.831055541,-286.861237819,-2.83253888847
-197.306142889,-286.887392138,-2.87238666604
-196.798610274,-286.912857407,-2.87238666604
-196.273715939,-286.939376783,-2.91223444361
-195.757599212,-286.965632619,-2.91223444361
-195.249926871,-286.991632729,-2.95137499931
-194.725069594,-287.018875702,-2.99122277689
-194.191468392,-287.04703165,-3.04970166572
-193.66665864,-287.075175302,-3.08954944364
-193.168155765,-287.102012057,-3.07350388813
-192.634919116,-287.130746127,-3.09542777701
-192.1016935,-287.159684235,-3.1173516659
-191.585679291,-287.187883123,-3.13856833221
-191.078113618,-287.215888468,-3.17770888791
-190.553368053,-287.245204552,-3.21755666584
-189.495496499,-287.305246003,-3.27932833229
-188.996761641,-287.333911898,-3.29983777673
