285,-375
285.0,-375.0,0.0
285.120582965,-375.0,0.0
285.249779,-375.0,0.0
285.439266517,-375.0,0.0
285.628754034,-375.0,0.0
285.82685462,-375.0,0.0
286.068020551,-375.0,0.0
286.317799551,-375.0,0.0
286.593417757,-375.0,0.0
286.90348824,-375.0,0.0
287.23078486,-375.0,0.0
287.558069958,-375.002746432,-0.48078957478
287.911193352,-375.005709687,-0.48078957478
288.298767809,-375.008962041,-0.48078957478
288.686342266,-375.012214394,-0.48078957478
289.065303958,-375.015394474,-0.48078957478
289.831840107,-375.021826906,-0.48078957478
290.253865627,-375.025368358,-0.48078957478
290.684503913,-375.028982084,-0.48078957478
291.476878358,-375.03563134,-0.48078957478
291.898903879,-375.039172792,-0.48078957478
292.329542164,-375.042786518,-0.48078957478
292.751567685,-375.04632797,-0.48078957478
293.18220597,-375.049941696,-0.48078957478
293.612844256,-375.053555422,-0.48078957478
294.043482542,-375.057169148,-0.48078957478
294.474120828,-375.060782874,-0.48078957478
294.913371879,-375.064468875,-0.48078957478
295.344010165,-375.068082601,-0.48078957478
295.774648451,-375.071696327,-0.48078957478
296.2397378,-375.075599152,-0.48078957478
296.687601617,-375.079357427,-0.48078957478
297.135465434,-375.083115702,-0.48078957478
297.583329251,-375.086873977,-0.48078957478
298.031193069,-375.090632253,-0.48078957478
298.47044412,-375.094318253,-0.48078957478
298.909695172,-375.098004254,-0.48078957478
299.366171755,-375.101834804,-0.48078957478
299.822648338,-375.105665353,-0.48078957478
300.270512155,-375.109423629,-0.48078957478
300.726988738,-375.113254178,-0.48078957478
301.398725359,-375.123798845,-0.89933357459
301.85516178,-375.130963811,-0.89933357459
302.311598202,-375.138128777,-0.89933357459
302.78525864,-375.14556412,-0.89933357459
303.723967508,-375.160299616,-0.89933357459
304.206239953,-375.167870146,-0.89933357459
304.671288383,-375.1751703,-0.89933357459
305.170784845,-375.183011206,-0.89933357459
305.687505322,-375.191122488,-0.89933357459
306.152553752,-375.198422642,-0.89933357459
306.608990174,-375.205587608,-0.89933357459
307.074038604,-375.212887763,-0.89933357459
307.547699041,-375.220323105,-0.89933357459
308.021359479,-375.227758447,-0.89933357459
308.503631925,-375.235328977,-0.89933357459
308.977292362,-375.242764319,-0.89933357459
309.4509528,-375.250199661,-0.89933357459
309.898777214,-375.257229439,-0.89933357459
310.346601628,-375.264259217,-0.89933357459
310.794426042,-375.271288995,-0.89933357459
311.250862464,-375.278453961,-0.89933357459
311.715910893,-375.285754115,-0.89933357459
312.163735307,-375.292783893,-0.89933357459
312.611559721,-375.299813671,-0.89933357459
313.067996143,-375.306978637,-0.89933357459
313.533044573,-375.314278791,-0.89933357459
313.980868987,-375.321308569,-0.89933357459
314.4286934,-375.328338347,-0.89933357459
316.92551774,-375.397786826,-1.59325547428
317.399053391,-375.410958089,-1.59325547428
317.855369563,-375.423650397,-1.59325547428
318.492490257,-375.441371733,-1.59325547428
318.948806429,-375.454064042,-1.59325547428
319.405122602,-375.46675635,-1.59325547428
319.861438774,-375.479448658,-1.59325547428
320.334974425,-375.492619921,-1.59325547428
320.791290597,-375.505312229,-1.59325547428
321.264826248,-375.518483493,-1.59325547428
321.72114242,-375.531175801,-1.59325547428
322.177458593,-375.543868109,-1.59325547428
322.616555287,-375.556081462,-1.59325547428
323.06426172,-375.568534293,-1.59325547428
323.54640711,-375.581945034,-1.59325547428
323.994113543,-375.594397864,-1.59325547428
324.424600498,-375.60637174,-1.59325547428
325.3716718,-375.632714266,-1.59325547428
325.802158755,-375.644688142,-1.59325547428
326.241255449,-375.656901495,-1.59325547428
326.688961882,-375.669354326,-1.59325547428
