270,-390
270.0,-390.0,0.0
270.155701733,-390.000107987,-0.0794749999821
270.28539743,-390.000355951,-0.139611666635
270.457991391,-390.000842219,-0.183238888848
270.656923483,-390.001651202,-0.282759444381
270.872746849,-390.002836242,-0.346432222144
271.088235952,-390.004190184,-0.373549999916
271.329396621,-390.005783334,-0.383451111021
271.622234199,-390.0077739,-0.3954738888
271.915071354,-390.009825914,-0.407496666575
272.208240635,-390.012035303,-0.456074444342
272.535526578,-390.014678935,-0.469511666557
272.880037417,-390.017544628,-0.483656111002
273.232994132,-390.020512502,-0.479876666555
273.620402078,-390.023749289,-0.477511666552
273.999363517,-390.026959142,-0.493070555437
274.378324071,-390.030271903,-0.508629444357
275.197027334,-390.038171748,-0.597054999865
275.619210031,-390.042702484,-0.632659444315
276.032611456,-390.047328685,-0.64963277761
276.454458122,-390.052108385,-0.648682222076
276.919201583,-390.057299448,-0.631222222086
277.36705319,-390.062305459,-0.64960999986
277.80645649,-390.06742681,-0.685921666497
278.262749788,-390.072891475,-0.686385555407
278.728152603,-390.078693174,-0.742035555388
279.175993691,-390.084565346,-0.760423333161
279.649835279,-390.091010516,-0.798149444277
280.407379068,-390.101528087,-0.792712222064
280.889663604,-390.108284489,-0.812514444246
281.388839121,-390.115293887,-0.796468888701
281.871123212,-390.122081911,-0.816271110919
282.362182556,-390.129243052,-0.854704444257
282.887685154,-390.137265548,-0.89455222204
283.369956919,-390.144879172,-0.914354444223
283.938345222,-390.154066356,-0.937692777551
284.429388288,-390.162268137,-0.97612611089
285.393906263,-390.179035297,-1.01573055532
285.893384169,-390.187980315,-1.03623999976
286.401635558,-390.197347109,-1.07538055529
286.88355057,-390.206322723,-1.05862777756
287.366128854,-390.215477535,-1.11498499976
287.848367758,-390.224946531,-1.13478722198
288.330603361,-390.234582196,-1.15458944416
288.812835605,-390.244384528,-1.17439166638
289.294734386,-390.25419291,-1.15763888861
289.794188606,-390.26437499,-1.17814833309
290.285192926,-390.274637473,-1.21658166639
290.758968185,-390.284854873,-1.25430777751
291.232406766,-390.295225793,-1.2554788886
292.196831527,-390.316695364,-1.29508333304
293.152793543,-390.338787274,-1.35261166637
293.643764338,-390.350544796,-1.39104499968
294.126281387,-390.362499248,-1.44740222191
294.608786443,-390.374928308,-1.50375944412
295.108170041,-390.388127358,-1.52426888852
295.598774459,-390.401190285,-1.52614722188
296.080932996,-390.41411962,-1.54594944409
296.554312655,-390.426900248,-1.54712055519
297.045240706,-390.440324457,-1.58555388853
297.518940343,-390.453592632,-1.62327999964
298.009850117,-390.467669386,-1.66171333295
298.500750338,-390.482075434,-1.70014666629
299.000085761,-390.496986092,-1.72065611073
299.482526054,-390.511716156,-1.77701333289
299.982169116,-390.527466479,-1.83407777735
300.48146832,-390.543544311,-1.85458722179
300.954772265,-390.558874717,-1.85575833293
301.445292896,-390.574775843,-1.85763666624
301.935813006,-390.590693048,-1.85951499956
302.409443786,-390.606226069,-1.89724111068
303.382659559,-390.639270001,-1.99203166604
303.873468569,-390.656505904,-2.03046499953
304.347050897,-390.673451997,-2.06819111043
305.311395846,-390.708918608,-2.14435055516
305.793714022,-390.727215815,-2.20070777698
306.266916722,-390.745405127,-2.20187888864
306.765775531,-390.764515777,-2.18583333278
307.256196418,-390.783242461,-2.18771166631
307.729730454,-390.801488222,-2.22543777756
308.211695282,-390.820301156,-2.24523999943
308.719309268,-390.840214598,-2.24782555483
309.201266709,-390.859215853,-2.26762777705
309.683217554,-390.878383678,-2.28742999962
310.190816739,-390.898670899,-2.29001555502
310.681202765,-390.918289295,-2.29189388855
311.180357563,-390.938356171,-2.31240333264
311.662293282,-390.957900625,-2.33220555521
312.178319169,-390.97884771,-2.31686722157
312.669022574,-390.998865937,-2.35530055505
313.168154859,-391.019485193,-2.37580999948
313.675722147,-391.040555373,-2.37839555524
314.174519713,-391.061202813,-2.36234999938
314.66488058,-391.081440292,-2.36422833291
315.155240783,-391.101693848,-2.36610666609
315.654369171,-391.122407241,-2.38661611053
316.153490112,-391.1432993,-2.40712555497
316.652603543,-391.164370021,-2.4276349994
317.143267331,-391.185336869,-2.46606833289
317.633916944,-391.206632844,-2.50450166602
318.089806996,-391.226575169,-2.50496555475
318.580442038,-391.248204234,-2.54339888858
319.079503943,-391.270461995,-2.56390833267
319.569790583,-391.292424365,-2.5657866662
320.068843752,-391.314877128,-2.58629611064
320.567888852,-391.337508529,-2.60680555507
321.041276761,-391.359217469,-2.64453166633
321.523091089,-391.381555232,-2.6643338882
322.013338482,-391.404376921,-2.66621222172
322.520792457,-391.428019411,-2.66879777713
323.019804452,-391.451369376,-2.68930722156
323.510367367,-391.47457688,-2.72774055505
324.009680306,-391.498615392,-2.78480499944
324.508644002,-391.522975662,-2.80531444388
324.990068408,-391.546495455,-2.78856166614
325.480265167,-391.570380036,-2.79043999967
325.962021048,-391.593944704,-2.81024222154
326.443768756,-391.617675873,-2.83004444376
326.934273185,-391.642088288,-2.86847777723
327.424761128,-391.666829723,-2.90691111036
327.923996455,-391.692429524,-2.96397555476
328.405678755,-391.717453209,-2.98377777732
328.88767711,-391.742814532,-3.04013499914
329.395290146,-391.769947846,-3.07927555484
330.384501802,-391.823673095,-3.13821833241
330.866105774,-391.85016151,-3.15802055497
331.347700563,-391.876816373,-3.1778227772
331.83772374,-391.904030719,-3.17970111037
332.809956165,-391.958848189,-3.27449166602
333.30025647,-391.987064708,-3.31292499915
334.185745492,-392.038462782,-3.33106944379
334.752918695,-392.071408736,-3.31785277717
335.234437253,-392.099406949,-3.33765499903
335.741902551,-392.129175769,-3.37679555473
336.232151693,-392.158267694,-3.41522888786
336.713621973,-392.187084223,-3.43503111043
337.169451949,-392.214592996,-3.47204999911
337.659652048,-392.24449992,-3.51048333259
338.158590003,-392.27535731,-3.56754777698
338.640304946,-392.305628173,-3.62390499914
339.130424059,-392.336834202,-3.66233833263
339.62895615,-392.368833368,-3.68284777707
340.127154409,-392.400830594,-3.6668022212
340.62536161,-392.432688298,-3.6507566657
341.132656656,-392.465229783,-3.6898972214
341.630850975,-392.497288305,-3.67385166589
342.120620188,-392.528743874,-3.67572999906
343.126096882,-392.593540939,-3.69882499926
343.615852339,-392.625209979,-3.70070333243
344.123118824,-392.658193678,-3.73984388813
344.612851482,-392.690213333,-3.74172222132
345.102583091,-392.722249044,-3.74360055485
345.609502807,-392.755428943,-3.74618611025
346.099231918,-392.787502808,-3.74806444342
346.606149048,-392.8207222,-3.75064999918
347.104631225,-392.85348973,-3.77115944361
347.602779575,-392.886254805,-3.75511388811
348.101259198,-392.919061171,-3.77562333254
348.599727046,-392.952045969,-3.79613277698
349.098183054,-392.985209195,-3.81664222142
349.587550208,-393.017706954,-3.78196555465
350.077581368,-393.050264944,-3.82039888813
350.575701376,-393.08345811,-3.80435333227
