270,-390
270.0,-390.0,0.0
270.193153494,-390.0,0.0
270.351188171,-390.0,0.0
270.544341665,-390.0,0.0
270.790173384,-390.0,0.0
271.036005104,-390.0,0.0
271.264277415,-390.0,0.0
271.510109134,-390.0,0.0
271.808619079,-390.0,0.0
272.107129025,-390.0,0.0
272.423198378,-390.0,0.0
272.756827141,-390.0,0.0
273.108015311,-390.0,0.0
273.459203482,-390.0,0.0
273.84551047,-390.0,0.0
274.231817458,-390.0,0.0
274.618124446,-390.0,0.0
275.478535464,-390.0,0.0
275.917520677,-390.0,0.0
276.338946482,-390.0,0.0
276.760372287,-390.0,0.0
277.216916909,-390.0,0.0
277.673461531,-390.0,0.0
278.130006153,-390.0,0.0
278.586550775,-390.0,0.0
279.078214214,-390.0,0.0
279.534758836,-390.0,0.0
280.026422275,-390.0,0.0
280.781476843,-390.0,0.0
281.273140282,-390.0,0.0
281.764803721,-390.0,0.0
282.25646716,-390.0,0.0
282.765690007,-390.0,0.0
283.310031672,-390.0,0.0
283.801695111,-390.0,0.0
284.381155593,-390.0,0.0
284.890378441,-390.0,0.0
285.873705319,-390.0,0.0
286.382928166,-390.0,0.0
286.909710423,-390.0,0.0
287.383814453,-390.0,0.0
287.893037301,-390.0,0.0
288.38470074,-390.0,0.0
288.876364179,-390.0,0.0
289.368027618,-390.0,0.0
289.842131648,-390.0,0.0
290.351354496,-390.0,0.0
290.860577344,-390.0,0.0
291.352240783,-390.0,0.0
291.826344813,-390.0,0.0
292.809671691,-390.0,0.0
293.79299857,-390.0,0.0
294.302221417,-390.0,0.0
294.811444265,-390.0,0.0
295.320667112,-390.0,0.0
295.82988996,-390.0,0.0
296.321553399,-390.0,0.0
296.813216838,-390.0,0.0
297.287320869,-390.0,0.0
297.796543716,-390.0,0.0
298.288207155,-390.0,0.0
298.797430003,-390.0,0.0
299.306652851,-390.0,0.0
299.815875698,-390.0,0.0
300.325098546,-390.0,0.0
300.851880802,-390.0,0.0
301.36110365,-390.0,0.0
301.83520768,-390.0,0.0
302.326871119,-390.0,0.0
302.818534558,-390.0,0.0
303.310197997,-390.0,0.0
304.328643693,-390.0,0.0
304.83786654,-390.0,0.0
305.329529979,-390.0,0.0
306.330416266,-390.0,0.0
306.839639114,-390.0,0.0
307.313743144,-390.0,0.0
307.805406583,-390.0,0.0
308.297070022,-390.0,0.0
308.788733462,-390.0,0.0
309.2803969,-390.0,0.0
309.789619748,-390.0,0.0
310.281283187,-390.0,0.0
310.772946626,-390.0,0.0
311.282169474,-390.0,0.0
311.773832913,-390.0,0.0
312.283055761,-390.0,0.0
312.7747192,-390.0,0.0
313.283942047,-390.0,0.0
313.793164895,-390.0,0.0
314.302387742,-390.0,0.0
314.81161059,-390.0,0.0
315.303274029,-390.0,0.0
315.794937468,-390.0,0.0
316.286600908,-390.0,0.0
316.795823755,-390.0,0.0
317.305046603,-390.0,0.0
317.81426945,-390.0,0.0
318.323492298,-390.0,0.0
318.832715146,-390.0,0.0
319.289259767,-390.0,0.0
319.798482615,-390.0,0.0
320.307705463,-390.0,0.0
320.799368902,-390.0,0.0
321.308591749,-390.0,0.0
321.817814597,-390.0,0.0
322.309478036,-390.0,0.0
322.801141475,-390.0,0.0
323.292804914,-390.0,0.0
323.802027762,-390.0,0.0
324.311250609,-390.0,0.0
324.820473457,-390.0,0.0
325.347255713,-390.0,0.0
325.856478561,-390.0,0.0
326.330582591,-390.0,0.0
326.822246031,-390.0,0.0
327.313909469,-390.0,0.0
327.805572909,-390.0,0.0
328.314795756,-390.0,0.0
328.824018604,-390.0,0.0
329.35080086,-390.0,0.0
329.842464299,-390.0,0.0
330.351687147,-390.0,0.0
330.878469403,-390.0,0.0
331.896915098,-390.0,0.0
332.388578537,-390.0,0.0
332.880241976,-390.0,0.0
333.371905415,-390.0,0.0
334.390351111,-390.0,0.0
334.899573958,-390.0,0.0
335.795103794,-390.0,0.0
336.357004867,-390.0,0.0
336.848668306,-390.0,0.0
337.375450562,-390.0,0.0
337.88467341,-390.0,0.0
338.376336849,-390.0,0.0
338.850440879,-390.0,0.0
339.359663727,-390.0,0.0
339.886445983,-390.0,0.0
340.395668831,-390.0,0.0
340.904891678,-390.0,0.0
341.414114526,-390.0,0.0
341.905777965,-390.0,0.0
342.397441404,-390.0,0.0
342.92422366,-390.0,0.0
343.415887099,-390.0,0.0
343.907550538,-390.0,0.0
344.925996234,-390.0,0.0
345.417659673,-390.0,0.0
345.944441929,-390.0,0.0
346.436105368,-390.0,0.0
346.927768807,-390.0,0.0
347.436991655,-390.0,0.0
347.928655094,-390.0,0.0
348.437877941,-390.0,0.0
348.947100789,-390.0,0.0
349.438764228,-390.0,0.0
349.947987076,-390.0,0.0
350.457209923,-390.0,0.0
350.966432771,-390.0,0.0
351.440536801,-390.0,0.0
351.949759649,-390.0,0.0
352.441423088,-390.0,0.0
352.933086527,-390.0,0.0
353.933972814,-390.0,0.0
354.425636253,-390.0,0.0
354.952418509,-390.0,0.0
355.461641357,-390.0,0.0
356.005983021,-390.0,0.0
356.515205869,-390.0,0.0
357.024428716,-390.0,0.0
357.533651564,-390.0,0.0
358.077993229,-390.0,0.0
358.622334894,-390.0,0.0
359.14911715,-390.0,0.0
359.658339997,-390.0,0.0
360.167562845,-390.0,0.0
360.694345101,-390.0,0.0
361.203567949,-390.0,0.0
362.204454236,-390.0,0.0
362.731236492,-390.0,0.0
363.258018748,-390.0,0.0
363.767241595,-390.0,0.0
364.294023851,-390.0,0.0
364.820806108,-390.0,0.0
365.347588364,-390.0,0.0
365.87437062,-390.0,0.0
366.383593468,-390.0,0.0
366.927935132,-390.0,0.0
367.419598571,-390.0,0.0
367.928821419,-390.0,0.0
368.438044267,-390.0,0.0
368.947267114,-390.0,0.0
369.632084047,-390.0,0.0
370.141306895,-390.0,0.0
371.177311999,-390.0,0.0
371.668975438,-390.0,0.0
372.160638877,-390.0,0.0
372.652302316,-390.0,0.0
373.161525164,-390.0,0.0
373.670748011,-390.0,0.0
374.179970859,-390.0,0.0
375.198416554,-390.0,0.0
375.690079993,-390.0,0.0
376.216862249,-390.0,0.0
376.726085097,-390.0,0.0
377.235307944,-390.0,0.0
378.745417079,-390.0,0.0
379.254639926,-390.0,0.0
379.746303365,-390.0,0.0
380.237966805,-390.0,0.0
381.238853091,-390.0,0.0
381.73051653,-390.0,0.0
382.239739378,-390.0,0.0
382.748962226,-390.0,0.0
383.223066256,-390.0,0.0
383.732289104,-390.0,0.0
384.311749585,-390.0,0.0
384.838531841,-390.0,0.0
