265,-285
265.0,-285.0,0.0
265.138142361,-285.000050888,-0.0422127777693
265.318850137,-285.000166912,-0.0313611111005
265.543123094,-285.000379207,-0.0771099999825
265.793401528,-285.000858194,-0.14219722219
266.043346228,-285.001540745,-0.170729444406
266.327742642,-285.002462513,-0.200676111062
266.646590552,-285.003666531,-0.23203722217
267.336294122,-285.007070029,-0.333436111032
267.715594948,-285.009449922,-0.385549999913
268.112119127,-285.012301007,-0.438371111023
268.525533862,-285.015525352,-0.455344444348
268.947394311,-285.018874557,-0.454393888779
269.38681251,-285.022498762,-0.490705555451
269.852232426,-285.026710958,-0.546355555432
270.790515635,-285.035525033,-0.530066666539
271.264047482,-285.039910835,-0.531237777672
271.74635783,-285.044466225,-0.551039999854
272.23711335,-285.049194238,-0.552918333208
272.728200422,-285.05409822,-0.591351666511
273.262512601,-285.059885773,-0.649830555416
273.796818595,-285.066218668,-0.708309444284
274.296999637,-285.072811093,-0.801928888693
274.805615939,-285.080266349,-0.877624444239
275.339892532,-285.088723457,-0.936103333108
275.882606885,-285.097783284,-0.976658333112
276.416868062,-285.107163859,-1.03513722198
276.942012645,-285.116667538,-1.03842999974
277.458710162,-285.1261289,-1.05964666641
277.992627211,-285.136106646,-1.08157055532
278.509317458,-285.145957049,-1.10278722199
279.043226843,-285.156336802,-1.12471111084
279.577132218,-285.166920851,-1.14663499975
280.120139233,-285.178154808,-1.22374499971
281.179459277,-285.201354912,-1.28551666638
282.255649828,-285.225748501,-1.31144055528
282.806410194,-285.238290076,-1.29751666637
283.339951897,-285.250306536,-1.28288555526
283.88227221,-285.26247037,-1.28688555528
284.442142501,-285.275249092,-1.32814777748
285.001674452,-285.288244672,-1.33285499972
285.552759173,-285.301175604,-1.35548611082
286.086617587,-285.313910017,-1.37740999967
286.637692086,-285.327269485,-1.40004111078
287.188761266,-285.340846619,-1.42267222192
288.135573149,-285.364380453,-1.42501444411
288.686307572,-285.378013741,-1.41109055523
289.237045292,-285.39151319,-1.39716666636
289.7708943,-285.404635961,-1.41909055524
290.330733615,-285.4187065,-1.46035277743
290.890562652,-285.43318021,-1.50161499966
291.424386851,-285.447276149,-1.52353888854
291.96665129,-285.461717719,-1.52753888853
292.543682722,-285.477316851,-1.56950833298
293.086592036,-285.492558146,-1.64661833297
293.637925674,-285.508692239,-1.70580444406
294.197687569,-285.525564083,-1.74706666628
294.722673528,-285.541592051,-1.75035944405
295.264548687,-285.557997151,-1.71780444408
295.815534093,-285.574630299,-1.74043555515
296.366512886,-285.591481079,-1.76306666626
296.900267205,-285.608012805,-1.78499055514
297.993743715,-285.642693499,-1.84817666635
298.527472888,-285.660018072,-1.87010055489
299.052750798,-285.67735178,-1.90994833282
299.586788305,-285.695433297,-1.968427222
300.12080708,-285.71405987,-2.02690611083
300.654806565,-285.733231478,-2.08538499967
301.180342465,-285.752718641,-2.16178777718
301.688311793,-285.772067338,-2.20092833288
302.230693931,-285.793104599,-2.24148333268
