265,-285
265.0,-285.0,0.0
265.137809103,-285.0,0.0
265.318683551,-285.0,0.0
265.542623344,-285.0,0.0
265.792402344,-285.0,0.0
266.042181344,-285.0,0.0
266.32641262,-285.0,0.0
266.645096171,-285.0,0.0
267.334141688,-285.0,0.0
267.713116722,-285.0,0.0
268.109317894,-285.0,0.0
268.522745204,-285.0,0.0
268.944785583,-285.0,0.0
269.3840521,-285.0,0.0
269.849157824,-285.0,0.0
270.78798234,-285.0,0.0
271.261701133,-285.0,0.0
271.744032995,-285.0,0.0
272.234977925,-285.0,0.0
272.725922856,-285.0,0.0
273.259933132,-285.0,0.0
273.793943407,-285.0,0.0
274.293501407,-285.0,0.0
274.801672475,-285.0,0.0
275.335682751,-285.0,0.0
275.878306095,-285.0,0.0
276.412316371,-285.0,0.0
276.937713577,-285.0,0.0
277.454497715,-285.0,0.0
277.98850799,-285.0,0.0
278.505292128,-285.0,0.0
279.039302403,-285.0,0.0
279.573312678,-285.0,0.0
280.115936023,-285.0,0.0
281.175343505,-285.0,0.0
282.251977125,-285.0,0.0
282.803213538,-285.0,0.0
283.337223813,-285.0,0.0
283.879847158,-285.0,0.0
284.43969664,-285.0,0.0
284.999546123,-285.0,0.0
285.550782536,-285.0,0.0
286.084792811,-285.0,0.0
286.636029225,-285.0,0.0
287.187265638,-285.0,0.0
288.134703224,-285.0,0.0
288.685939637,-285.0,0.0
289.23717605,-285.0,0.0
289.771186326,-285.0,0.0
290.331035808,-285.0,0.0
290.89088529,-285.0,0.0
291.424895566,-285.0,0.0
291.96751891,-285.0,0.0
292.544594531,-285.0,0.0
293.087217875,-285.0,0.0
293.638454288,-285.0,0.0
294.198303771,-285.0,0.0
294.723700977,-285.0,0.0
295.266324322,-285.0,0.0
295.817560735,-285.0,0.0
296.368797148,-285.0,0.0
296.902807424,-285.0,0.0
297.996667181,-285.0,0.0
298.530677457,-285.0,0.0
299.056074664,-285.0,0.0
299.590084939,-285.0,0.0
300.124095214,-285.0,0.0
300.65810549,-285.0,0.0
301.183502696,-285.0,0.0
301.691673765,-285.0,0.0
302.234297109,-285.0,0.0
302.759694316,-285.0,0.0
303.293704591,-285.0,0.0
304.206689901,-285.0,0.0
304.757926314,-285.0,0.0
305.817333796,-285.0,0.0
306.351344072,-285.0,0.0
306.893967416,-285.0,0.0
307.43659076,-285.0,0.0
307.953374898,-285.0,0.0
308.487385173,-285.0,0.0
309.01278238,-285.0,0.0
309.529566517,-285.0,0.0
310.054963724,-285.0,0.0
310.571747862,-285.0,0.0
311.105758137,-285.0,0.0
311.613929205,-285.0,0.0
312.139326412,-285.0,0.0
312.785306584,-285.0,0.0
313.302090721,-285.0,0.0
313.801648721,-285.0,0.0
314.327045928,-285.0,0.0
314.861056203,-285.0,0.0
315.38645341,-285.0,0.0
315.903237547,-285.0,0.0
316.428634754,-285.0,0.0
316.95403196,-285.0,0.0
317.496655304,-285.0,0.0
318.03066558,-285.0,0.0
318.547449717,-285.0,0.0
319.081459993,-285.0,0.0
319.615470268,-285.0,0.0
320.149480544,-285.0,0.0
321.200274957,-285.0,0.0
321.725672163,-285.0,0.0
322.259682439,-285.0,0.0
322.793692714,-285.0,0.0
323.835874058,-285.0,0.0
324.335432058,-285.0,0.0
324.860829264,-285.0,0.0
325.403452609,-285.0,0.0
326.454102727,-285.017413434,-0.949531099566
326.988039672,-285.026262885,-0.949531099566
327.496140959,-285.034684136,-0.949531099566
328.012854132,-285.04324812,-0.949531099566
328.555402963,-285.052240303,-0.949531099566
329.080728022,-285.060947021,-0.949531099566
329.571605536,-285.069082806,-0.949531099566
330.088318709,-285.07764679,-0.949531099566
330.622255654,-285.08649624,-0.949531099566
331.1561926,-285.095345691,-0.949531099566
331.672905773,-285.103909675,-0.949531099566
332.198230832,-285.112616392,-0.949531099566
332.723555891,-285.121323109,-0.949531099566
333.231657177,-285.12974436,-0.949531099566
333.756982236,-285.138451078,-0.949531099566
334.273695409,-285.147015062,-0.949531099566
334.781796696,-285.155436313,-0.949531099566
335.307121755,-285.16414303,-0.949531099566
335.8410587,-285.17299248,-0.949531099566
336.366383759,-285.181699198,-0.949531099566
336.865873159,-285.189977716,-0.949531099566
337.399810105,-285.198827166,-0.949531099566
337.93374705,-285.207676616,-0.949531099566
338.450460223,-285.2162406,-0.949531099566
338.958561509,-285.224661852,-0.949531099566
339.483886569,-285.233368569,-0.949531099566
340.543148573,-285.250924736,-0.949531099566
341.042637973,-285.259203254,-0.949531099566
341.559351146,-285.267767239,-0.949531099566
342.084676205,-285.276473956,-0.949531099566
342.592777492,-285.284895207,-0.949531099566
343.092266892,-285.293173725,-0.949531099566
343.608980065,-285.301737709,-0.949531099566
344.134305124,-285.310444426,-0.949531099566
344.642406411,-285.318865678,-0.949531099566
345.159119583,-285.327429662,-0.949531099566
345.66722087,-285.335850913,-0.949531099566
346.683423443,-285.352693415,-0.949531099566
347.19152473,-285.361114666,-0.949531099566
347.699626017,-285.369535917,-0.949531099566
348.233562962,-285.378385368,-0.949531099566
348.758888021,-285.387092085,-0.949531099566
349.266989308,-285.395513336,-0.949531099566
349.78370248,-285.40407732,-0.949531099566
350.317639426,-285.41292677,-0.949531099566
350.842964485,-285.421633488,-0.949531099566
351.351065771,-285.430054739,-0.949531099566
351.867778944,-285.438618723,-0.949531099566
352.384492117,-285.447182707,-0.949531099566
352.909817176,-285.455889424,-0.949531099566
353.951855408,-285.473160126,-0.949531099566
354.468568581,-285.48172411,-0.949531099566
354.976669867,-285.490145361,-0.949531099566
355.501994926,-285.498852078,-0.949531099566
356.035931872,-285.507701529,-0.949531099566
356.552645044,-285.516265513,-0.949531099566
357.08658199,-285.525114963,-0.949531099566
