285,-375
285.0,-375.0,0.0
285.120582923,-375.000100997,-0.047989549978
285.249778912,-375.000209209,-0.047989549978
285.439265183,-375.000896453,-0.207804099906
285.628751454,-375.001583697,-0.207804099906
285.826850737,-375.00230218,-0.207804099906
286.068015608,-375.00301718,-0.169868649923
286.31779351,-375.003757715,-0.169868649923
286.593410505,-375.004574858,-0.169868649923
286.903478309,-375.005863707,-0.238158199892
287.230768177,-375.00796613,-0.368047749832
287.55805486,-375.01051662,-0.446487299796
287.911182594,-375.012907389,-0.387901849823
288.298761815,-375.015531404,-0.387901849823
288.686337661,-375.018613813,-0.455666399792
289.06530071,-375.021627724,-0.455666399792
289.831839606,-375.027724043,-0.455666399792
290.253863463,-375.031458413,-0.506980949769
290.684500052,-375.035268995,-0.506980949769
291.476870182,-375.042414121,-0.516645499764
291.898888594,-375.046720096,-0.584585049733
292.329519626,-375.051113949,-0.584585049733
292.751536781,-375.05554138,-0.601074599726
293.182166532,-375.060059166,-0.601074599726
293.612794879,-375.064708778,-0.618614149718
294.043423226,-375.06935839,-0.618614149718
294.474049498,-375.074196384,-0.643678699706
294.913284524,-375.079456101,-0.686068249687
295.343901027,-375.085096997,-0.750507799657
295.774511844,-375.091156435,-0.806197349632
296.239571526,-375.097700628,-0.806197349632
296.687406775,-375.104002443,-0.806197349632
297.135242024,-375.110304258,-0.806197349632
297.58307487,-375.116774626,-0.827761899622
298.030907716,-375.123244994,-0.827761899622
298.470128392,-375.129590931,-0.827761899622
298.909349067,-375.135936869,-0.827761899622
299.365794083,-375.142531667,-0.827761899622
299.822239099,-375.149126464,-0.827761899622
300.270071945,-375.155596832,-0.827761899622
300.726508994,-375.162721711,-0.894301449592
301.398227968,-375.174336267,-0.990590999548
301.854634287,-375.183214112,-1.11435554949
302.311022373,-375.192984424,-1.22639509944
302.78463265,-375.203123426,-1.22639509944
303.72324211,-375.223217085,-1.22639509944
304.205463484,-375.233540433,-1.22639509944
304.670462666,-375.24349509,-1.22639509944
305.169908628,-375.254074589,-1.21348464945
305.686576865,-375.265018898,-1.21348464945
306.151570458,-375.275231263,-1.25814919943
306.607946119,-375.285565671,-1.29721374941
307.072932641,-375.296095067,-1.29721374941
307.546524754,-375.307049775,-1.32507829939
308.02011237,-375.318197195,-1.34839284938
308.502310669,-375.329547294,-1.34839284938
308.975898285,-375.340694713,-1.34839284938
309.4494859,-375.351842133,-1.34839284938
309.897241464,-375.362381511,-1.34839284938
310.344994237,-375.37303881,-1.36348239938
310.792747009,-375.38369611,-1.36348239938
311.24910208,-375.394902959,-1.40674694936
311.714067623,-375.406321258,-1.40674694936
312.161812221,-375.417316656,-1.40674694936
312.609556819,-375.428312055,-1.40674694936
313.065913894,-375.439436981,-1.39646149936
313.530881479,-375.450771811,-1.39646149936
313.978628044,-375.461686833,-1.39646149936
314.426374608,-375.472601855,-1.39646149936
316.923353102,-375.536267185,-1.46055104933
317.396914009,-375.548496737,-1.47931559932
317.853254519,-375.560281579,-1.47931559932
318.490413931,-375.576551447,-1.46273014933
318.946757833,-375.588204191,-1.46273014933
319.403101736,-375.599856935,-1.46273014933
319.859434687,-375.611930923,-1.51561969931
320.332980352,-375.624737118,-1.54908424929
320.78929657,-375.637427781,-1.59304879927
321.262820947,-375.650998292,-1.64156334925
321.719108302,-375.66468747,-1.71842789922
322.175371123,-375.679171322,-1.81821744917
322.614414208,-375.693179989,-1.82753199917
323.06206598,-375.707463336,-1.82753199917
323.544152504,-375.722845402,-1.82753199917
323.991804277,-375.737128749,-1.82753199917
324.422238674,-375.750862736,-1.82753199917
325.36912391,-375.783209717,-1.95654654911
325.799518998,-375.798124834,-1.98476109909
326.238519135,-375.813420349,-1.99547564909
326.686127117,-375.829015776,-1.99547564909
327.4005642,-375.854310485,-2.02771519907
327.848157487,-375.870322134,-2.04875474906
328.726115208,-375.90211099,-2.07364429905
329.190934069,-375.918443818,-2.01243384908
329.655752929,-375.934776645,-2.01243384908
330.12057179,-375.951109472,-2.01243384908
330.58539065,-375.967442299,-2.01243384908
331.101856051,-375.985589885,-2.01243384908
331.540865168,-376.000625446,-1.9615483991
331.997090328,-376.016250638,-1.9615483991
332.436097687,-376.031337456,-1.9682379491
332.89232102,-376.047015914,-1.9682379491
333.357152341,-376.062990191,-1.9682379491
333.804767687,-376.078372829,-1.9682379491
334.261006348,-376.093598722,-1.91140249913
335.612484662,-376.139330208,-1.93804204912
336.077324337,-376.15505951,-1.93804204912
336.550758871,-376.171467961,-1.98498159909
337.015572199,-376.18795746,-2.03174614907
337.936576822,-376.221034003,-2.05681069906
338.418597932,-376.238345091,-2.05681069906
338.883404003,-376.255037926,-2.05681069906
339.339602554,-376.271421634,-2.05681069906
339.795804089,-376.287722054,-2.04635024907
340.260603987,-376.304585889,-2.07788979905
340.725391807,-376.321779401,-2.11852934903
341.172926901,-376.339342519,-2.24736889897
341.629054346,-376.357598967,-2.29203344895
342.102399726,-376.376404427,-2.27509799896
342.575753376,-376.395000577,-2.24976254897
343.040500596,-376.413258616,-2.24976254897
343.488034956,-376.430840432,-2.24976254897
343.944175745,-376.448760359,-2.24976254897
344.400295586,-376.467205826,-2.31577709894
344.856412704,-376.485718479,-2.32421664894
345.785858907,-376.523442375,-2.32421664894
346.233370042,-376.541605733,-2.32421664894
346.66366921,-376.559070499,-2.32421664894
347.11977147,-376.577945675,-2.36975619892
347.584469907,-376.597405823,-2.39797074891
348.049168343,-376.616865971,-2.39797074891
348.505247057,-376.636301782,-2.44018529889
348.96993103,-376.656104306,-2.44018529889
349.434615002,-376.675906831,-2.44018529889
349.899298975,-376.695709356,-2.44018529889
350.363982947,-376.71551188,-2.44018529889
350.845856158,-376.736541227,-2.49884984886
351.301894924,-376.756892838,-2.55523939883
351.749329185,-376.776860456,-2.55523939883
352.213972455,-376.797596059,-2.55523939883
352.695824736,-376.819099648,-2.55523939883
353.160451959,-376.840191778,-2.59920394881
353.616463446,-376.861145729,-2.6309184988
354.072449962,-376.882636211,-2.69833304877
354.537004965,-376.905263258,-2.78849759873
355.001559969,-376.927890304,-2.78849759873
355.44030636,-376.949260292,-2.78849759873
355.904861364,-376.971887339,-2.78849759873
356.36942166,-376.994405449,-2.77506214873
356.825378988,-377.016506558,-2.77506214873
357.289935342,-377.039105868,-2.78507669873
357.754491695,-377.061705178,-2.78507669873
358.227617469,-377.085401086,-2.86719124869
358.692140957,-377.10866616,-2.86719124869
359.156660728,-377.132005333,-2.87633079869
359.59538248,-377.153875329,-2.8537953487
360.051288187,-377.177016864,-2.90580989867
360.524383998,-377.201303654,-2.93874944866
360.988868472,-377.225335036,-2.96171399865
361.436149818,-377.248476366,-2.96171399865
361.892039537,-377.271930757,-2.94512854866
362.347929255,-377.295385147,-2.94512854866
362.812420666,-377.319282074,-2.94512854866
363.268310385,-377.342736464,-2.94512854866
363.724200103,-377.366190855,-2.94512854866
364.188691515,-377.390087781,-2.94512854866
364.661784619,-377.414427243,-2.94512854866
