285,-375
285.0,-375.0,0.0
285.120916227,-375.000039417,-0.0373549999913
285.249945607,-375.000110393,-0.0256789999939
285.439099847,-375.000152419,0.000219000000368
285.628587364,-375.000163272,-0.00678249999806
285.826521314,-375.000170933,0.00234749999989
286.067353965,-375.00011065,0.0263359999945
286.317299591,-375.000051773,0.000656999997189
286.592917797,-375.000073107,-0.00952699999732
286.903321494,-375.000244873,-0.0538834999873
287.230951086,-375.00068163,-0.0988764999772
287.558913274,-375.001470532,-0.17676899996
287.912213759,-375.002651486,-0.206266999953
288.299632742,-375.004039018,-0.204138499935
288.687384629,-375.005524665,-0.23490949994
289.066356285,-375.007124747,-0.248912499937
289.832745204,-375.010533642,-0.260786999953
290.254947286,-375.012573413,-0.292830999926
290.685594798,-375.014834216,-0.308743499923
291.47831643,-375.019536062,-0.370921999934
291.90051381,-375.022387393,-0.402965999877
292.331156181,-375.02547599,-0.418878499904
292.753351028,-375.028680698,-0.450922499878
293.183990662,-375.032129741,-0.466834999875
293.614961527,-375.035824878,-0.515646999889
294.045596991,-375.039760393,-0.531559499885
294.476563407,-375.043942376,-0.580371499867
294.915972722,-375.048518807,-0.613051999873
295.346932754,-375.053313755,-0.661863999856
295.777888544,-375.058475848,-0.710675999838
296.242957618,-375.06431445,-0.727861499834
296.690468626,-375.069935884,-0.711510999844
297.138312868,-375.07556228,-0.728059999841
297.586487026,-375.081450984,-0.777508499823
298.034324491,-375.087593236,-0.794057499788
298.473382216,-375.093677651,-0.793838499807
298.912439964,-375.099760388,-0.793619499794
299.368722186,-375.106082545,-0.794036999813
299.825004362,-375.112408026,-0.794454499832
300.272839991,-375.118682732,-0.811003499828
300.72945163,-375.125279141,-0.844320499801
301.401856417,-375.135720412,-0.9349429998
301.858783727,-375.143441245,-1.00115949979
302.315370958,-375.151553039,-1.03447649977
302.789176586,-375.160248975,-1.06842999974
303.727340286,-375.177625461,-1.05376999977
304.209589187,-375.186570893,-1.07159199976
304.674281541,-375.195199213,-1.05587799974
305.174083734,-375.204634966,-1.10723599972
305.690769703,-375.214707251,-1.12633099972
306.15611471,-375.224059738,-1.17641599973
306.612674993,-375.233568103,-1.20973299971
307.07767557,-375.243457271,-1.2269184997
307.551779515,-375.253887898,-1.29377149972
308.025540938,-375.264727969,-1.32772499967
308.507741554,-375.275979123,-1.34554699969
308.981163031,-375.287103461,-1.34660099968
309.454584303,-375.298236508,-1.3476549997
309.90200832,-375.308698441,-1.33130449971
310.350095639,-375.319305379,-1.38075299969
310.797843614,-375.330162306,-1.39730199969
311.254363848,-375.341430722,-1.43061899966
311.719322846,-375.353112476,-1.44780449969
312.167057809,-375.364493382,-1.46435349965
312.614789466,-375.376003609,-1.48090249968
313.071292772,-375.387938122,-1.51421949966
313.53623423,-375.400298288,-1.53140499965
313.98395211,-375.412332473,-1.54795399965
314.431666496,-375.424495974,-1.56450299964
316.928469367,-375.494702425,-1.65679549962
317.402152598,-375.508543993,-1.69074899963
317.858609133,-375.522150372,-1.72406599944
318.495683748,-375.541457184,-1.74761649956
318.951797461,-375.55537539,-1.74803399974
319.407911073,-375.569296919,-1.7484514996
319.864353673,-375.583362988,-1.78176849942
320.338005587,-375.598237716,-1.81572199955
320.794431357,-375.612839681,-1.84903899937
321.268394101,-375.628417437,-1.91589199945
321.724793645,-375.643817346,-1.94920899959
322.181184157,-375.659482645,-1.98252599971
322.620349916,-375.674809951,-2.01520649953
323.067950221,-375.69062416,-2.03175549953
323.549976188,-375.707799428,-2.04957749952
323.997238466,-375.723741768,-2.03322699925
324.427618656,-375.73908071,-2.04913949924
325.374763134,-375.773531063,-2.11704649951
325.805448848,-375.789635612,-2.16585849945
326.244563315,-375.80636806,-2.19853899959
326.692110727,-375.823614397,-2.21508799927
327.406617375,-375.851519083,-2.2579524994
327.854474553,-375.86937126,-2.30740099935
328.732285208,-375.904990423,-2.33986249966
329.19732777,-375.924196138,-2.38994749929
329.662026011,-375.943660905,-2.40713299929
330.126718394,-375.963265054,-2.4243184996
330.59173214,-375.983156238,-2.47440349924
331.108030705,-376.005553427,-2.49349849954
331.547042311,-376.024796618,-2.52617899968
332.002924793,-376.04491124,-2.52659649953
332.441925209,-376.064408032,-2.55927699967
332.897795996,-376.084785999,-2.55969449922
333.362434531,-376.105627414,-2.57687999921
333.809858304,-376.125828642,-2.59342899952
334.266043835,-376.146624388,-2.62674599934
335.617319804,-376.209791208,-2.72606049942
336.081895864,-376.231981673,-2.74324599941
336.555231488,-376.254802262,-2.77719949955
337.020113907,-376.27755704,-2.82728449918
337.940736757,-376.323429206,-2.87778699962
