285,-375
285.0,-375.0,0.0
285.120916225,-375.000043796,-0.0415055555458
285.2499456,-375.000122658,-0.0285322222155
285.439099839,-375.000169354,0.000243333333742
285.628587355,-375.000181414,-0.00753611110895
285.826521306,-375.000189925,0.00260833333321
286.067353955,-375.000122944,0.0292622222161
286.317299578,-375.000057526,0.000729999996876
286.592917784,-375.000081231,-0.0105855555526
286.903321469,-375.000272081,-0.0598705555415
287.23095099,-375.000757367,-0.109862777752
287.558247009,-375.001384947,-0.109862777752
287.911548609,-375.002163444,-0.142638333301
288.298968896,-375.003119936,-0.14027333328
288.686722166,-375.004184941,-0.174463333286
289.065695282,-375.005390358,-0.190022222172
289.83208727,-375.008020359,-0.203216111079
290.254291136,-375.009649018,-0.238820555493
290.684940559,-375.01151051,-0.256501111045
291.477665898,-375.015537342,-0.32558833328
291.899865323,-375.018067739,-0.36119277766
292.330509788,-375.020849007,-0.378873333246
292.752706677,-375.023772047,-0.414477777662
293.183348369,-375.026953812,-0.432158333214
293.614321225,-375.030408513,-0.486393888785
294.044958585,-375.034130805,-0.504074444337
294.475926765,-375.038126449,-0.558309999872
294.915337669,-375.042547611,-0.594621666545
295.346298997,-375.047224328,-0.648857222082
295.777255704,-375.052308987,-0.703092777618
296.24232545,-375.058093785,-0.722187777613
296.689837101,-375.063663809,-0.704020555402
297.137681985,-375.069238844,-0.722408333176
297.585856437,-375.075104828,-0.777351110934
298.03369382,-375.081253036,-0.795738888673
298.472751368,-375.087350243,-0.79549555536
298.911808941,-375.093445584,-0.795252222013
299.36809098,-375.099780928,-0.795716110923
299.824372969,-375.106119966,-0.796179999833
300.272208307,-375.112415345,-0.814567777606
300.728819318,-375.11905491,-0.851586666466
301.400564493,-375.129039788,-0.851586666466
301.857502092,-375.136125193,-0.925160555345
302.314099437,-375.1436461,-0.962179444205
302.787915392,-375.151759769,-0.999905555286
303.726099433,-375.168000885,-0.983616666428
304.208358781,-375.176364176,-1.00341888865
304.673061195,-375.184432497,-0.985958888622
305.172874086,-375.193283214,-1.04302333305
305.689570843,-375.202785999,-1.06423999971
306.154925277,-375.211656789,-1.11988999972
306.611494425,-375.220729472,-1.15690888858
307.076503764,-375.230197675,-1.17600388858
307.550122776,-375.239920137,-1.17600388858
308.023905152,-375.249801999,-1.21372999963
308.50612702,-375.260102084,-1.23353222188
308.979569331,-375.270301333,-1.23470333297
309.453011432,-375.28051026,-1.23587444411
309.90045516,-375.290092183,-1.2177072219
310.348562158,-375.299832187,-1.27264999965
310.796329659,-375.309851491,-1.29103777743
311.252869669,-375.320287946,-1.32805666629
311.717848651,-375.33114513,-1.34715166632
312.165602746,-375.341746657,-1.36553944406
312.613353415,-375.35249188,-1.38392722186
313.069875905,-375.363668476,-1.42094611072
313.534836674,-375.375279482,-1.44004111072
313.982572993,-375.386606905,-1.45842888849
314.430305653,-375.398078019,-1.47681666627
316.927265973,-375.46245221,-1.47681666627
317.400989938,-375.474821364,-1.51454277738
317.857485762,-375.487038651,-1.55156166607
318.49461522,-375.504441844,-1.57772888842
318.950768192,-375.517007753,-1.57819277751
319.406921062,-375.529577355,-1.57865666624
319.86340293,-375.542305453,-1.61567555493
320.337095527,-375.555822661,-1.65340166618
320.793560402,-375.569146249,-1.69042055487
321.267073035,-375.583120539,-1.69042055487
321.723529206,-375.596739047,-1.72743944391
322.179976483,-375.610652469,-1.76445833294
322.619196962,-375.624322121,-1.8007699994
323.066853091,-375.638468208,-1.81915777718
323.548939203,-375.653863121,-1.83895999939
323.996257288,-375.668154142,-1.82079277687
324.426691179,-375.681903914,-1.83847333242
325.373641065,-375.712299518,-1.83847333242
325.804399321,-375.726330271,-1.89270888792
326.243588102,-375.740983036,-1.92902055473
326.691211445,-375.756131118,-1.94740833216
327.405839638,-375.780727115,-1.99503555453
327.853773259,-375.796545476,-2.04997833225
328.731734086,-375.828248035,-2.08604666592
329.196856327,-375.845416055,-2.14169666552
329.661634252,-375.862874948,-2.16079166551
330.126406333,-375.880488737,-2.17988666586
330.591499832,-375.898418519,-2.23553666546
331.107886909,-375.918672625,-2.25675333246
331.546973725,-375.936115582,-2.29306499928
332.002934265,-375.954375421,-2.29352888801
332.442009795,-375.972100204,-2.32984055482
332.897958521,-375.990652699,-2.33030444321
333.362676456,-376.009641464,-2.34939944321
333.810176611,-376.028073318,-2.36778722133
334.266439886,-376.047087101,-2.40480611001
335.617500803,-376.103826861,-2.40480611001
336.082193654,-376.123419881,-2.42390111001
336.555648453,-376.143617524,-2.46162722127
337.020648164,-376.163834084,-2.51727722086
337.941503724,-376.204769529,-2.57339111024
338.423345416,-376.226509037,-2.59319333211
338.887971334,-376.247629848,-2.6122883321
339.343823063,-376.268429773,-2.61275222119
339.800000876,-376.289394105,-2.64977110987
340.264931694,-376.311137487,-2.70542111017
340.729841174,-376.333332434,-2.76107110976
341.177523278,-376.355138005,-2.81601388749
341.633623848,-376.377720532,-2.85303277653
342.106914093,-376.401463638,-2.89075888743
342.57953815,-376.425183008,-2.85537499879
343.043737089,-376.448264951,-2.83791499848
343.491063826,-376.470511568,-2.85630277661
343.946822838,-376.493252705,-2.85676666534
344.40290723,-376.516159636,-2.89378555438
344.858976726,-376.53936124,-2.93080444341
345.787637955,-376.586919052,-2.9324394431
346.234927382,-376.609903621,-2.95082722088
346.665006392,-376.632139539,-2.96850777643
347.121045242,-376.655935905,-3.00552666546
347.585832092,-376.680565654,-3.06117666541
348.050270002,-376.705480713,-3.0802716654
348.506261566,-376.730166605,-3.11729055443
348.970674853,-376.75553651,-3.13638555408
349.434755003,-376.780894858,-3.11892555448
349.899167564,-376.806278015,-3.13802055447
350.363571641,-376.831815946,-3.15711555447
350.845491065,-376.858635348,-3.21347277629
351.301424007,-376.88438126,-3.25049166532
351.748578955,-376.909848392,-3.2688794431
352.212923493,-376.936446917,-3.28797444309
352.69413269,-376.964021349,-3.27122166536
353.158800329,-376.990806159,-3.32687166531
353.615005571,-377.017619374,-3.40044555394
354.07085207,-377.044852988,-3.43746444297
354.535440037,-377.072985909,-3.49311444292
354.999676923,-377.101401502,-3.51220944291
355.437952129,-377.128300373,-3.51196610977
355.902179641,-377.15686871,-3.53106110942
356.366721031,-377.18576053,-3.58671110972
356.822153113,-377.214309692,-3.5871749988
357.286665985,-377.243656457,-3.6428249984
357.750827038,-377.273284976,-3.66191999839
358.22373493,-377.303707285,-3.69964610965
358.687866371,-377.333796105,-3.71874110964
359.15231063,-377.364209435,-3.77439110959
359.590781452,-377.393275347,-3.81070277605
360.046421265,-377.423772251,-3.84772166508
360.519228015,-377.455727967,-3.88544777634
360.983581818,-377.487492504,-3.94109777629
361.430397327,-377.518347371,-3.95948555406
361.885956411,-377.550027352,-3.9965044431
362.341172656,-377.581833117,-3.99696833183
362.80514171,-377.614330016,-4.01606333182
363.260347071,-377.646291175,-4.01652722091
363.715552173,-377.678256019,-4.01699110964
364.179509843,-377.710915056,-4.03608610929
364.651887212,-377.744250733,-4.03725722095
365.133016279,-377.778292516,-4.05705944282
365.622885472,-377.813202905,-4.09549277595
366.121482361,-377.849152924,-4.15255722068
366.585683034,-377.883081898,-4.20820722063
367.067029393,-377.918737108,-4.2645644428
367.556448279,-377.955240379,-4.26644277633
368.037116428,-377.991028238,-4.24968999859
368.500937632,-378.025571301,-4.26878499859
368.973175717,-378.060825192,-4.26995610954
369.454162561,-378.096820728,-4.28975833177
369.935457683,-378.13316102,-4.34611555393
370.407968578,-378.169228238,-4.38384166519
370.897630696,-378.206931977,-4.42227499832
371.378840481,-378.244385334,-4.47863222048
371.868439551,-378.282899121,-4.51706555361
372.332094507,-378.319606261,-4.53616055396
372.830080618,-378.35920456,-4.5566699984
373.302302101,-378.396839191,-4.5566699984
373.783102798,-378.435241173,-4.57647222062
374.255464868,-378.473207817,-4.61419833152
374.727801836,-378.511485477,-4.65192444278
375.208538025,-378.550686739,-4.671726665
375.689260637,-378.590054148,-4.69152888687
376.161225758,-378.62879135,-4.69269999853
376.616342142,-378.666298371,-4.72971888721
377.097024662,-378.706152325,-4.74952110908
377.569269908,-378.745545456,-4.78724722034
378.049912169,-378.785882023,-4.8070494429
378.530540461,-378.826384705,-4.82685166477
378.993990174,-378.86559818,-4.84594666476
379.457426791,-378.904966106,-4.86504166511
379.912108615,-378.9436685,-4.86550555384
380.856104798,-379.024347812,-4.90440277606
381.78291049,-379.10387483,-4.90440277606
382.245987332,-379.14353929,-4.88694277576
382.71781759,-379.183885955,-4.88811388706
383.181225109,-379.22359494,-4.90720888741
383.919528783,-379.287418124,-4.97417444255
384.365715362,-379.326323886,-4.99256222068
