285,-375
285.0,-375.0,0.0
285.120916225,-375.000043796,-0.0415055555458
285.2499456,-375.000122658,-0.0285322222155
285.439099839,-375.000169354,0.000243333333742
285.628587355,-375.000181414,-0.00753611110895
285.826521306,-375.000189925,0.00260833333321
286.067353955,-375.000122944,0.0292622222161
286.317299578,-375.000057526,0.000729999996876
286.592917784,-375.000081231,-0.0105855555526
286.903321469,-375.000272081,-0.0598705555415
287.23095099,-375.000757367,-0.109862777752
287.558247009,-375.001384947,-0.109862777752
287.911548609,-375.002163444,-0.142638333301
288.298968896,-375.003119936,-0.14027333328
288.686722166,-375.004184941,-0.174463333286
289.065695282,-375.005390358,-0.190022222172
289.83208727,-375.008020359,-0.203216111079
290.254291136,-375.009649018,-0.238820555493
290.684940559,-375.01151051,-0.256501111045
291.477334963,-375.015057916,-0.256501111045
291.899537132,-375.017079223,-0.292105555425
292.330184637,-375.019341218,-0.309786111011
292.752384744,-375.021755171,-0.345390555427
293.18302996,-375.024417667,-0.363071110979
293.614006668,-375.027352698,-0.41730666655
294.044648203,-375.030555726,-0.434987222101
294.475620888,-375.034031705,-0.489222777637
294.915036803,-375.037923023,-0.52553444431
295.346003457,-375.042080084,-0.579769999847
295.776965982,-375.046645092,-0.634005555383
296.242042365,-375.051869105,-0.653100555378
296.689560407,-375.056899516,-0.634933333167
297.137411688,-375.061934535,-0.653321110941
297.585592888,-375.067260107,-0.708263888699
298.033437358,-375.072868309,-0.726651666438
298.472501939,-375.078436095,-0.726408333125
298.911566543,-375.084002018,-0.726164999778
299.36785589,-375.089787172,-0.726628888688
299.82414519,-375.095576021,-0.727092777598
300.271987793,-375.101331396,-0.745480555371
300.728606479,-375.107420375,-0.78249944423
301.400363205,-375.116595256,-0.78249944423
301.856813288,-375.12282947,-0.78249944423
302.313427945,-375.129213469,-0.81951833309
302.787262633,-375.136147357,-0.857244444171
303.725484205,-375.150052435,-0.840955555314
304.207762881,-375.157214921,-0.860757777532
304.672483944,-375.164126153,-0.843297777507
305.172317323,-375.171732357,-0.900362221932
305.68903614,-375.179948587,-0.921578888594
306.154411219,-375.187660662,-0.977228888609
306.611001541,-375.195596504,-1.01424777747
307.076033014,-375.203906849,-1.03334277746
307.549674766,-375.212450015,-1.03334277746
308.023480278,-375.221152174,-1.07106888851
308.505726298,-375.230251541,-1.09087111076
308.979192536,-375.239271933,-1.09204222186
309.452658589,-375.248302003,-1.09321333299
309.900124788,-375.256769805,-1.07504611078
310.348254648,-375.265394035,-1.12998888854
310.796045709,-375.27429841,-1.14837666631
311.252610289,-375.283598092,-1.18539555517
311.717614863,-375.29329749,-1.2044905552
312.165393967,-375.30278412,-1.22287833294
312.613170003,-375.312414453,-1.24126611075
313.069718906,-375.322454317,-1.27828499961
313.534707144,-375.33290758,-1.29737999961
313.982470279,-375.343120148,-1.31576777738
314.430230114,-375.353476415,-1.33415555515
316.927342979,-375.411633216,-1.33415555515
317.401096273,-375.422822805,-1.37188166627
317.857621103,-375.433903424,-1.40890055495
318.494791918,-375.449720171,-1.43506777731
318.950974764,-375.461150265,-1.43553166639
319.407157517,-375.472584052,-1.43599555512
319.863669662,-375.484175514,-1.47301444381
320.337394446,-375.496513231,-1.51074055507
320.793891081,-375.508700224,-1.54775944376
321.267437041,-375.52149547,-1.54775944376
321.723925706,-375.533977404,-1.5847783328
322.180406211,-375.546754274,-1.62179722183
322.619659365,-375.559330267,-1.65810888829
323.067349329,-375.572361689,-1.67649666607
323.549472278,-375.586556206,-1.69629888828
323.99682456,-375.599733405,-1.67813166576
324.427291352,-375.612411394,-1.69581222131
325.374313984,-375.640449091,-1.69581222131
325.805105841,-375.653407253,-1.7500477768
326.244329744,-375.666966436,-1.78635944362
326.691989417,-375.680999931,-1.80474722104
327.406676636,-375.703816497,-1.85237444341
327.854648255,-375.718519498,-1.90731722113
328.732685296,-375.74803592,-1.94338555481
329.197848843,-375.764045777,-1.9990355544
329.662668798,-375.780347364,-2.0181305544
330.127483294,-375.796803861,-2.03722555475
330.592619996,-375.813575549,-2.09287555434
331.109055902,-375.832543839,-2.11409222135
331.548184789,-375.848893458,-2.15040388816
332.004189381,-375.866017942,-2.15086777689
332.443307682,-375.882649416,-2.18717944371
332.899301189,-375.900066584,-2.1876433321
333.364064964,-375.917898187,-2.20673833209
333.811609625,-375.935215752,-2.22512611021
334.267918828,-375.953093425,-2.2621449989
335.619116834,-376.006468997,-2.2621449989
336.083857029,-376.024904917,-2.28123999889
336.55736065,-376.04392364,-2.31896611015
337.022409257,-376.062982333,-2.37461610975
337.943363888,-376.101624809,-2.43072999913
338.425258216,-376.12216451,-2.45053222099
338.889935282,-376.142128383,-2.46962722099
339.345837388,-376.161793216,-2.47009111007
339.802065986,-376.181621645,-2.50710999876
340.267049502,-376.202207326,-2.56275999905
340.732012804,-376.223244625,-2.61840999865
341.179747814,-376.243935443,-2.67335277637
341.635903199,-376.265382253,-2.71037166541
342.109251094,-376.287946838,-2.74809777632
342.581932745,-376.310489347,-2.71271388767
343.046187717,-376.332415408,-2.69525388737
343.49356846,-376.353548155,-2.71364166549
343.949382682,-376.375154426,-2.71410555422
344.405522696,-376.39692568,-2.75112444326
344.861648549,-376.418991642,-2.78814333229
345.790425313,-376.464237031,-2.78977833198
346.237770583,-376.486107821,-2.80816610976
346.667903625,-376.507272815,-2.82584666531
347.124000312,-376.529933614,-2.86286555434
347.588847047,-376.553406012,-2.91851555429
348.053345554,-376.577164589,-2.93761055429
348.50939717,-376.600715029,-2.97462944332
348.973872185,-376.624928511,-2.99372444297
349.438014036,-376.649131265,-2.97626444336
349.90248836,-376.673358002,-2.99535944336
350.366954584,-376.697739532,-3.01445444335
350.848939292,-376.723358918,-3.07081166517
351.304934926,-376.747969521,-3.1078305542
351.752151898,-376.772323201,-3.12621833198
352.216561225,-376.797765471,-3.14531333198
352.697837587,-376.824141653,-3.12856055424
353.162570477,-376.849769402,-3.18421055419
353.618358357,-376.875125905,-3.18421055419
354.074304389,-376.900638959,-3.22122944322
354.538995222,-376.927018323,-3.27687944317
355.003336042,-376.953681682,-3.29597444317
355.441709644,-376.978926309,-3.29573111003
355.906041667,-377.005742446,-3.31482610968
356.370688786,-377.03288088,-3.37047610997
356.82622537,-377.059711036,-3.37093999906
357.290845688,-377.087304519,-3.42658999865
357.755115254,-377.115181081,-3.44568499865
358.228134591,-377.143818417,-3.4834111099
358.692376283,-377.172155389,-3.5025061099
359.156932015,-377.200815689,-3.55815610985
359.595509409,-377.228226603,-3.59446777631
360.051261072,-377.257003703,-3.63148666534
360.524185056,-377.287174817,-3.6692127766
360.988655432,-377.317186655,-3.72486277655
361.435584205,-377.346355019,-3.74325055431
361.891259605,-377.376315493,-3.78026944336
362.346592643,-377.406403043,-3.78073333209
362.810681037,-377.43714869,-3.79982833208
363.266003777,-377.467391674,-3.80029222117
363.721326273,-377.497638345,-3.8007561099
364.185403894,-377.528546172,-3.81985110955
364.657903708,-377.560098857,-3.82102222121
365.139157822,-377.592324615,-3.84082444307
365.629155278,-377.625385987,-3.8792577762
366.127884292,-377.659454043,-3.93632222094
366.592209708,-377.69163088,-3.99197222089
367.073687201,-377.725469234,-4.04832944305
367.563240366,-377.760125176,-4.05020777658
368.044040155,-377.794098737,-4.03345499885
368.507988421,-377.826891091,-4.05254999884
368.980356191,-377.860362503,-4.0537211098
369.461475457,-377.894542537,-4.07352333202
369.9429043,-377.929066159,-4.12988055419
370.415547948,-377.963349863,-4.16760666544
370.905348873,-377.999205347,-4.20603999857
371.38669658,-378.03484235,-4.26239722074
371.876437514,-378.071508114,-4.30083055387
372.340227701,-378.106465156,-4.31992555422
372.83835971,-378.144183773,-4.34043499866
373.310719864,-378.180035969,-4.34043499866
373.791662066,-378.216623135,-4.36023722088
374.264164058,-378.252806812,-4.39796333178
374.736642122,-378.289301598,-4.43568944304
375.217522834,-378.32668828,-4.45549166526
375.698390595,-378.36424116,-4.47529388713
376.170498548,-378.401196888,-4.47646499878
376.625753243,-378.436986031,-4.51348388747
377.106582749,-378.475025604,-4.53328610934
377.578973301,-378.512636198,-4.57101222059
378.05976437,-378.551158533,-4.59081444316
378.540542097,-378.589847034,-4.61061666502
379.0041365,-378.627311168,-4.62971166502
379.467718393,-378.664929803,-4.64880666537
379.922543041,-378.70191595,-4.6492705541
380.866836985,-378.779032042,-4.68816777632
381.793936212,-378.855060726,-4.68816777632
382.25715945,-378.892977249,-4.67070777601
382.729138617,-378.931542937,-4.67187888731
383.192692698,-378.969502738,-4.69097388766
383.931231982,-379.030539107,-4.75793944281
