210,260
210.0,260.0,0.0
210.162815086,260.00010827,0.0762019999826
210.316850145,260.000438105,0.169171999963
210.48877738,260.000985551,0.195706499953
210.729608457,260.001858583,0.219694999951
210.987998707,260.002827831,0.210147499953
211.238276355,260.003617853,0.151568999966
211.505113883,260.004339072,0.158152999961
211.823963059,260.005140654,0.129927999971
212.142812591,260.005785166,0.101702999977
212.478888522,260.006297073,0.0728414999808
212.849083541,260.006776643,0.0756064999833
213.580693654,260.007884426,0.0979044999908
213.985007167,260.008696643,0.132295999989
214.398433497,260.009596133,0.117019999961
214.803080248,260.010427847,0.118511999974
215.234066372,260.011135725,0.0696999999909
215.699505211,260.011498498,0.0196149999773
216.173390631,260.011520319,-0.0143384999956
216.62160337,260.011214739,-0.0637870000101
217.077929104,260.010705052,-0.0642044999969
217.55181405,260.010033613,-0.098157999971
218.034478045,260.00899308,-0.148879499953
218.525587538,260.007568715,-0.183469499958
219.016696081,260.005847863,-0.218059499962
219.507470795,260.003972796,-0.21974999995
219.989798813,260.002047869,-0.237571999945
220.489352176,259.999896032,-0.256030499941
220.989237388,259.997438198,-0.307388499924
221.463115215,259.994755432,-0.341341999897
221.962996212,259.991553288,-0.39269999991
222.462874139,259.987903069,-0.444057999892
222.971527372,259.983658368,-0.512183999883
223.4713966,259.978965718,-0.563541999866
223.970929636,259.973971848,-0.582000499861
224.488017911,259.968484527,-0.633994999874
224.996322734,259.962703475,-0.669221499848
225.495514139,259.956935512,-0.654780499826
226.003485282,259.95111981,-0.657107499844
226.520234436,259.945106995,-0.67620249984
227.019756687,259.939130905,-0.694660999835
227.510830331,259.933028521,-0.729250999809
228.027571505,259.92636505,-0.748345999804
228.536195023,259.919419052,-0.816471999826
229.04414773,259.912169856,-0.818798999813
229.561208911,259.904545507,-0.870793499796
230.060707985,259.89687295,-0.889251999791
230.542980583,259.889312273,-0.907073999787
231.033697262,259.881535637,-0.908764499806
231.524413712,259.873744523,-0.910454999792
232.015460889,259.865792649,-0.945044999797
232.506503177,259.857544326,-0.97963499977
233.049541285,259.847929659,-1.04903399976
233.540567794,259.838790133,-1.08362399973
234.03125818,259.829501452,-1.08531449975
234.504394638,259.820669615,-1.05346899979
234.986974196,259.811581988,-1.10419049974
235.486768255,259.8017248,-1.15554849975
235.969330856,259.791777412,-1.20626999973
236.451554239,259.781548446,-1.22409199973
236.942220379,259.771056804,-1.22578249972
237.441332205,259.760440133,-1.21134149972
237.923224413,259.750313933,-1.19626399973
