210,-260
210.0,-260.0,0.0
210.162815086,-259.99989173,0.0762019999826
210.316850145,-259.999561895,0.169171999963
210.48877738,-259.999014449,0.195706499953
210.729608457,-259.998141417,0.219694999951
210.987998707,-259.997172169,0.210147499953
211.238276355,-259.996382147,0.151568999966
211.505113883,-259.995660928,0.158152999961
211.823963059,-259.994859346,0.129927999971
212.142812591,-259.994214834,0.101702999977
212.478888522,-259.993702927,0.0728414999808
212.849083541,-259.993223357,0.0756064999833
213.580693654,-259.992115574,0.0979044999908
213.985007167,-259.991303357,0.132295999989
214.398433497,-259.990403867,0.117019999961
214.803080248,-259.989572153,0.118511999974
215.234066372,-259.988864275,0.0696999999909
215.699505211,-259.988501502,0.0196149999773
216.173390631,-259.988479681,-0.0143384999956
216.62160337,-259.988785261,-0.0637870000101
217.077929104,-259.989294948,-0.0642044999969
217.55181405,-259.989966387,-0.098157999971
218.034478045,-259.99100692,-0.148879499953
218.525587538,-259.992431285,-0.183469499958
219.016696081,-259.994152137,-0.218059499962
219.507470795,-259.996027204,-0.21974999995
219.989798813,-259.997952131,-0.237571999945
220.489352176,-260.000103968,-0.256030499941
220.989237388,-260.002561802,-0.307388499924
221.463115215,-260.005244568,-0.341341999897
221.962996212,-260.008446712,-0.39269999991
222.462874139,-260.012096931,-0.444057999892
222.971527372,-260.016341632,-0.512183999883
223.4713966,-260.021034282,-0.563541999866
223.970929636,-260.026028152,-0.582000499861
224.488017911,-260.031515473,-0.633994999874
224.996322734,-260.037296525,-0.669221499848
225.495514139,-260.043064488,-0.654780499826
226.003485282,-260.04888019,-0.657107499844
226.520234436,-260.054893005,-0.67620249984
227.019756687,-260.060869095,-0.694660999835
227.510830331,-260.066971479,-0.729250999809
228.027571505,-260.07363495,-0.748345999804
228.536195023,-260.080580948,-0.816471999826
229.04414773,-260.087830144,-0.818798999813
229.561208911,-260.095454493,-0.870793499796
230.060707985,-260.10312705,-0.889251999791
230.542980583,-260.110687727,-0.907073999787
231.033697262,-260.118464363,-0.908764499806
231.524413712,-260.126255477,-0.910454999792
232.015460889,-260.134207351,-0.945044999797
232.506503177,-260.142455674,-0.97963499977
233.049541285,-260.152070341,-1.04903399976
233.540567794,-260.161209867,-1.08362399973
234.03125818,-260.170498548,-1.08531449975
234.504394638,-260.179330385,-1.05346899979
234.986974196,-260.188418012,-1.10419049974
235.486768255,-260.1982752,-1.15554849975
235.969330856,-260.208222588,-1.20626999973
