-210,260
-210.0,260.0,0.0
-209.837184914,260.00010827,0.0762019999826
-209.683149855,260.000438105,0.169171999963
-209.51122262,260.000985551,0.195706499953
-209.270391543,260.001858583,0.219694999951
-209.012001293,260.002827831,0.210147499953
-208.761723645,260.003617853,0.151568999966
-208.494886117,260.004339072,0.158152999961
-208.176036941,260.005140654,0.129927999971
-207.857187409,260.005785166,0.101702999977
-207.521111478,260.006297073,0.0728414999808
-207.150916459,260.006776643,0.0756064999833
-206.419306346,260.007884426,0.0979044999908
-206.014992833,260.008696643,0.132295999989
-205.601566503,260.009596133,0.117019999961
-205.196919752,260.010427847,0.118511999974
-204.765933628,260.011135725,0.0696999999909
-204.300494789,260.011498498,0.0196149999773
-203.826609369,260.011520319,-0.0143384999956
-203.37839663,260.011214739,-0.0637870000101
-202.922070896,260.010705052,-0.0642044999969
-202.44818595,260.010033613,-0.098157999971
-201.965521955,260.00899308,-0.148879499953
-201.474412462,260.007568715,-0.183469499958
-200.983303919,260.005847863,-0.218059499962
-200.492529205,260.003972796,-0.21974999995
-200.010201187,260.002047869,-0.237571999945
-199.510647824,259.999896032,-0.256030499941
-199.010762612,259.997438198,-0.307388499924
-198.536884785,259.994755432,-0.341341999897
-198.037003788,259.991553288,-0.39269999991
-197.537125861,259.987903069,-0.444057999892
-197.028472628,259.983658368,-0.512183999883
-196.5286034,259.978965718,-0.563541999866
-196.029070364,259.973971848,-0.582000499861
-195.511982089,259.968484527,-0.633994999874
-195.003677266,259.962703475,-0.669221499848
-194.504485861,259.956935512,-0.654780499826
-193.996514718,259.95111981,-0.657107499844
-193.479765564,259.945106995,-0.67620249984
-192.980243313,259.939130905,-0.694660999835
-192.489169669,259.933028521,-0.729250999809
-191.972428495,259.92636505,-0.748345999804
-191.463804977,259.919419052,-0.816471999826
-190.95585227,259.912169856,-0.818798999813
-190.438791089,259.904545507,-0.870793499796
-189.939292015,259.89687295,-0.889251999791
-189.457019417,259.889312273,-0.907073999787
-188.966302738,259.881535637,-0.908764499806
-188.475586288,259.873744523,-0.910454999792
-187.984539111,259.865792649,-0.945044999797
-187.493496823,259.857544326,-0.97963499977
-186.950458715,259.847929659,-1.04903399976
-186.459432206,259.838790133,-1.08362399973
-185.96874182,259.829501452,-1.08531449975
-185.495605362,259.820669615,-1.05346899979
-185.013025804,259.811581988,-1.10419049974
-184.513231745,259.8017248,-1.15554849975
-184.030669144,259.791777412,-1.20626999973
-183.548445761,259.781548446,-1.22409199973
-183.057779621,259.771056804,-1.22578249972
-182.558667795,259.760440133,-1.21134149972
-182.076775587,259.750313933,-1.19626399973
-181.577328156,259.739804095,-1.21472249973
-181.103882512,259.729760757,-1.21577649972
-180.621660833,259.719451781,-1.23359849971
-180.122220357,259.7086165,-1.25205699971
-179.631559396,259.697885374,-1.25374749973
-179.166566553,259.687638997,-1.27093299969
-178.675909154,259.676746224,-1.27262349971
-178.167700342,259.665299996,-1.30784999971
-177.685495852,259.65421611,-1.32567199971
-177.202964914,259.642835936,-1.37639349956
-176.720774028,259.631175192,-1.39421549953
-176.229811492,259.619077635,-1.42880549966
-175.747631475,259.606975806,-1.44662749966
-175.27423036,259.595016281,-1.44768149952
-174.774833856,259.582314945,-1.46613999951
-174.292661827,259.569898925,-1.48396199951
-173.819268605,259.557630931,-1.48501599968
-173.345546005,259.54520958,-1.51896949982
-172.854940359,259.532192834,-1.52065999936
-172.372780363,259.519318008,-1.53848199967
-171.89906956,259.506454605,-1.5724354998
-171.408147028,259.492829957,-1.60702549962
-170.916903715,259.478758453,-1.67451499971
-170.426006237,259.464259187,-1.70910499952
-169.95233584,259.449985164,-1.74305849966
-169.461456059,259.434898644,-1.77764849947
-168.97935866,259.419861325,-1.79547049978
-168.479719903,259.403974929,-1.84682849941
-167.997641012,259.388355527,-1.86465049941
-167.524011112,259.372795647,-1.89860399955
-167.041946532,259.35674062,-1.91642599953
-166.551114647,259.34016885,-1.95101599967
-166.060292856,259.323300764,-1.98560599949
-165.586696859,259.306741053,-2.01955949962
-165.104667247,259.289668389,-2.0373814993
-164.157192609,259.25512834,-2.13818799951
-163.692413326,259.237705653,-2.15537349951
-163.210097771,259.219339375,-2.20609499977
-162.727798663,259.20054613,-2.25681649941
-162.237073892,259.18105867,-2.29140649954
-161.738245831,259.161161566,-2.27696549958
-161.26506774,259.142342946,-2.27801949945
-160.783120047,259.123096038,-2.29584149975
-160.300850968,259.103547357,-2.34656299939
-159.327920872,259.062952899,-2.43187449947
-158.846026599,259.0424119,-2.44969649947
-158.372907392,259.022166866,-2.45075049933
-156.918187491,258.958593477,-2.5538839994
-156.453546845,258.937799182,-2.5710694994
-155.507396716,258.895296032,-2.57317749912
-155.025554567,258.873566648,-2.59099949943
-154.552159975,258.852003887,-2.62495299956
-153.605409541,258.808036782,-2.6928599992
-153.123613833,258.785300948,-2.71068199951
-152.65059175,258.762901047,-2.71173599937
-152.168477275,258.739852252,-2.76245749932
-151.669177777,258.715536062,-2.81381549927
-151.187105131,258.691628357,-2.86453699922
-150.722257937,258.668164973,-2.91462199949
-150.266196152,258.644812248,-2.9479389993
-149.802035471,258.620973328,-2.93222499935
-149.303461142,258.595498495,-2.91778399938
-148.804880408,258.570149326,-2.90334299943
-148.349466447,258.547181831,-2.87086099933
-147.884947951,258.52381734,-2.88804649933
-147.394793363,258.499082452,-2.88973699951
-146.922169614,258.475356917,-2.85789149941
-146.449206645,258.45174176,-2.85894549927
-145.97624411,258.428117903,-2.85999949945
-145.486077473,258.403622954,-2.86168999931
-145.030320592,258.380839149,-2.86210749949
-144.565798532,258.357545626,-2.87929299948
-144.092518429,258.333601182,-2.91324649961
-143.163204292,258.285761773,-2.98051699924
-142.707169667,258.261884553,-3.01383399906
-142.233947094,258.236828828,-3.04778749919
-141.75230147,258.211108892,-3.0656094995
-141.288190726,258.186316758,-3.04989549923
-140.841274933,258.162568564,-3.03354499927
-140.385914341,258.138566222,-3.00106299918
-139.921775963,258.114296948,-2.98534899922
-139.457305081,258.090004306,-3.00253449922
-138.984403235,258.065195232,-3.00358849939
-138.537142317,258.041662421,-3.02013749939
-138.081124312,258.017469856,-3.05345449952
-137.607919179,257.992086899,-3.08740799902
-137.151929892,257.967358944,-3.12072499947
-136.678754887,257.941420419,-3.15467849928
-136.205595336,257.915201495,-3.18863199941
-135.723689403,257.88814071,-3.23935349905
-135.250894139,257.861377222,-3.24040749922
-134.769337703,257.834038212,-3.25822949922
-134.287789793,257.806549414,-3.27605149922
-133.814686845,257.779328228,-3.31000499903
-133.006102109,257.732119125,-3.37281999929
-132.53304581,257.704098941,-3.40677349911
-132.0600062,257.675798428,-3.44072699925
-131.57854829,257.646775955,-3.45854899923
-131.096775185,257.617445248,-3.50927049918
-130.61535234,257.587846823,-3.52709249918
-130.150807545,257.559009739,-3.57717749914
-129.6781783,257.529459065,-3.57823149931
-129.196467514,257.49912207,-3.62895299926
-128.689482348,257.466957715,-3.63127999912
-128.199689847,257.435866864,-3.63297049929
-127.718332025,257.40522913,-3.65079249929
-127.219792925,257.373339348,-3.66925099929
-126.754997192,257.343194839,-3.75223549919
-126.299001637,257.313024804,-3.81845199928
-125.808990204,257.280171199,-3.8530419991
-125.318998696,257.247021776,-3.88763199891
-124.829350203,257.213739821,-3.88932249909
-124.356888961,257.181614733,-3.89037649895
-123.884428311,257.149480955,-3.89143049912
-123.403213593,257.116672145,-3.90925249912
-122.930440363,257.084224258,-3.94320599925
-122.423639235,257.049279715,-3.94553299912
-121.942455712,257.016016524,-3.96335499912
-121.452528935,256.981923771,-3.99794499924
-120.971376041,256.948220426,-4.01576699892
-120.490233653,256.914367419,-4.03358899892
-120.000671533,256.879838227,-4.0352794991
-119.502357654,256.84460371,-4.05373799909
-118.995302795,256.808512394,-4.08896449922
-118.513881567,256.773882705,-4.13968599917
-118.023739907,256.738117458,-4.20717549895
-117.559892629,256.703926298,-4.22436099894
-117.078876677,256.668321847,-4.24218299925
-116.589443509,256.632010563,-4.2438734988
-116.091261209,256.594962095,-4.26233199911
-115.610591016,256.559201696,-4.24725449915
-114.665464808,256.488449029,-4.31516149909
-114.158901212,256.450215169,-4.31748849895
-113.661088451,256.41269472,-4.303047499
-113.180443792,256.376592756,-4.28796999904
-112.691039798,256.339890361,-4.28966049921
-112.218814553,256.304464896,-4.29071449907
-111.711913305,256.266276706,-4.3259409992
-111.222212086,256.229084242,-4.36053099902
-110.758457984,256.193651691,-4.37771649902
-110.277217391,256.156596246,-4.42843799896
-109.796331306,256.119278735,-4.44625999896
-109.30670927,256.081058,-4.48084999909
-108.800258358,256.041359416,-4.48317699895
-108.319408145,256.003582495,-4.50099899895
-107.855742304,255.967013099,-4.51818449894
-107.366489731,255.928344579,-4.51987499912
-106.868812609,255.889065939,-4.50543399884
-106.388298471,255.851266417,-4.4903564992
-105.899027175,255.812835527,-4.49204699875
-104.928298847,255.735845933,-4.57735849914
-104.438765546,255.696504995,-4.61194849896
-103.975171389,255.659037809,-4.62913399896
-103.502843149,255.620652573,-4.66308749909
-103.013689934,255.580746842,-4.66477799864
-102.508009813,255.539767263,-4.60130599922
-101.970503458,255.498044043,-4.2759109989
-101.467454102,255.462019194,-3.91634349894
-100.938888899,255.42772389,-3.5083814989
-100.401980323,255.396955053,-3.05138849939
-99.8732831538,255.370811094,-2.6105269997
-99.3356316188,255.348291104,-2.18643349952
-98.8153720373,255.330508531,-1.7288039997
-98.31220714,255.317335586,-1.27053799987
-97.8008375526,255.308258809,-0.763240999965
-97.2296169496,255.303413112,-0.208822499967
-96.6671561037,255.304166755,0.36236399986
-96.1128403216,255.310198565,0.884519499902
-95.5754887328,255.320792693,1.37441199968
-95.0382473671,255.335980862,1.86430449946
-94.4846193367,255.356686242,2.41935949946
-93.9393107104,255.382138812,2.92538349937
-93.377390361,255.413501194,3.46367049924
-92.8070228379,255.450629427,3.98518949897
-91.72698939,255.535310275,4.98110599866
-91.1322474749,255.589955329,5.51811999883
-90.5719729816,255.646577605,6.02350749875
-89.9954462811,255.710148656,6.56115799861
-89.4282689362,255.778165693,7.1155764983
-88.8363277522,255.855051032,7.68548999844
-88.2364733263,255.938950084,8.23863549813
-87.637456821,256.028636258,8.79178099813
-87.0393340663,256.124101194,9.34492649781
-86.4504742201,256.2238414,9.88194049767
-85.862575056,256.32909633,10.4189544975
-85.2926160822,256.436665298,10.9566049977
-84.7154230379,256.551303304,11.5103869974
-84.1397259824,256.671611776,12.0970684971
-83.5652909867,256.797808702,12.683749997
-82.9918153323,256.929791112,13.237531997
-82.4367545764,257.063369034,13.8248499967
-81.8745569318,257.204688943,14.3953999965
-81.3223087526,257.349455833,14.9827179964
-80.7387045093,257.509026389,15.6016624963
-80.1980929379,257.663061447,16.2057484961
-79.6587697604,257.822727603,16.7769349963
-79.1375338381,257.9827108,17.3487579961
-78.6095287413,258.150470529,17.9038129961
-78.099905498,258.318007483,18.4924039957
-77.5840586253,258.493563493,19.0971264955
-77.0542124536,258.680314152,19.7341119955
-76.5261065276,258.872906471,20.3381979953
-75.9914448626,259.074036682,20.8926164953
-75.4355896139,259.28975562,21.5283289954
-74.8899708876,259.508408731,22.147909995
-74.3545230213,259.729647264,22.7513594947
-73.8055832028,259.963255255,23.3541724948
-73.2595057834,260.202648591,23.9898849942
-72.7161180567,260.448085948,24.6255974943
-72.1827367985,260.695887605,25.2122789942
-71.6367479963,260.956565382,25.8312234941
-71.1086987101,261.215534838,26.4179049938
-70.5833287835,261.479897598,27.0045864937
-70.060319435,261.749628768,27.5583684938
-69.5250831669,262.032440658,28.1444134934
-68.5302913601,262.576864908,29.2371189933
-67.996263487,262.879473622,29.8392954934
-67.4505466338,263.196324661,30.4408354931
-66.9005924211,263.523295021,31.0256074928
-66.3392858646,263.864811972,31.6097429927
-65.8032397439,264.198394239,32.1783834925
-65.2779874553,264.532644348,32.7637919925
-64.7276806653,264.891005971,33.3808269921
-64.2025785088,265.240961953,33.9823669922
-63.6669440535,265.606111691,34.5832704923
-63.1565556462,265.962063262,35.2015784919
-62.6360139457,266.333504821,35.8192499918
-62.1262763667,266.705484746,36.4207899916
-61.6271898643,267.077675243,37.0061984915
-61.1389707793,267.449696652,37.6083749916
-60.6543170223,267.826894404,38.1776519911
-60.1730639824,268.208958179,38.7140294913
-59.755140143,268.546891056,39.2039219911
-59.3009390379,268.921050166,39.7577039908
-58.8699827054,269.283009718,40.2959909906
-58.4424459084,269.64900202,40.8342779905
-58.0176511378,270.019189419,41.3067659905
