-210,-260
-210.0,-260.0,0.0
-209.837184914,-259.99989173,0.0762019999826
-209.683149855,-259.999561895,0.169171999963
-209.51122262,-259.999014449,0.195706499953
-209.270391543,-259.998141417,0.219694999951
-209.012001293,-259.997172169,0.210147499953
-208.761723645,-259.996382147,0.151568999966
-208.494886117,-259.995660928,0.158152999961
-208.176036941,-259.994859346,0.129927999971
-207.857187409,-259.994214834,0.101702999977
-207.521111478,-259.993702927,0.0728414999808
-207.150916459,-259.993223357,0.0756064999833
-206.419306346,-259.992115574,0.0979044999908
-206.014992833,-259.991303357,0.132295999989
-205.601566503,-259.990403867,0.117019999961
-205.196919752,-259.989572153,0.118511999974
-204.765933628,-259.988864275,0.0696999999909
-204.300494789,-259.988501502,0.0196149999773
-203.826609369,-259.988479681,-0.0143384999956
-203.37839663,-259.988785261,-0.0637870000101
-202.922070896,-259.989294948,-0.0642044999969
-202.44818595,-259.989966387,-0.098157999971
-201.965521955,-259.99100692,-0.148879499953
-201.474412462,-259.992431285,-0.183469499958
-200.983303919,-259.994152137,-0.218059499962
-200.492529205,-259.996027204,-0.21974999995
-200.010201187,-259.997952131,-0.237571999945
-199.510647824,-260.000103968,-0.256030499941
-199.010762612,-260.002561802,-0.307388499924
-198.536884785,-260.005244568,-0.341341999897
-198.037003788,-260.008446712,-0.39269999991
-197.537125861,-260.012096931,-0.444057999892
-197.028472628,-260.016341632,-0.512183999883
-196.5286034,-260.021034282,-0.563541999866
-196.029070364,-260.026028152,-0.582000499861
-195.511982089,-260.031515473,-0.633994999874
-195.003677266,-260.037296525,-0.669221499848
-194.504485861,-260.043064488,-0.654780499826
-193.996514718,-260.04888019,-0.657107499844
-193.479765564,-260.054893005,-0.67620249984
-192.980243313,-260.060869095,-0.694660999835
-192.489169669,-260.066971479,-0.729250999809
-191.972428495,-260.07363495,-0.748345999804
-191.463804977,-260.080580948,-0.816471999826
-190.95585227,-260.087830144,-0.818798999813
-190.438791089,-260.095454493,-0.870793499796
-189.939292015,-260.10312705,-0.889251999791
-189.457019417,-260.110687727,-0.907073999787
-188.966302738,-260.118464363,-0.908764499806
-188.475586288,-260.126255477,-0.910454999792
-187.984539111,-260.134207351,-0.945044999797
-187.493496823,-260.142455674,-0.97963499977
-186.950458715,-260.152070341,-1.04903399976
