210,260
210.0,260.0,0.0
210.163648258,259.999869259,-0.045774399979
210.318683101,259.999517837,-0.129873799941
210.490943233,259.998862421,-0.2179981999
210.73210704,259.997850136,-0.24049759989
210.99049673,259.996741624,-0.251105933221
211.240272168,259.99540772,-0.305980333196
211.507106956,259.993999747,-0.298664777646
211.825784483,259.99204016,-0.352314177621
212.144460315,259.989822085,-0.3987885776
212.480360388,259.987280393,-0.433537977584
212.850545195,259.984489201,-0.430465755359
213.58264489,259.98044551,-0.316465155411
213.987454865,259.978587229,-0.263014555435
214.400878949,259.976953866,-0.226363955452
214.80552342,259.975361044,-0.22470617766
215.23617152,259.973214914,-0.285530577632
215.701267693,259.970234304,-0.367179977595
216.174970902,259.966391779,-0.46475437755
216.622831719,259.962291609,-0.524528777523
217.0791386,259.958112268,-0.524992666397
217.552834432,259.95344825,-0.56411706638
218.035137021,259.94813439,-0.631241466349
218.526044841,259.942098038,-0.704490866316
219.016948288,259.935715976,-0.744840266297
219.507685009,259.929328035,-0.746718599617
219.989972229,259.922765827,-0.779542999602
220.489483992,259.915969255,-0.779542999602
220.988990012,259.908762938,-0.82654239958
221.462660746,259.902015344,-0.816141799585
221.96216284,259.894541831,-0.857191199566
222.461647197,259.885964431,-0.983815599508
222.969727318,259.876350596,-1.08401499946
223.469192838,259.866738659,-1.10248939945
223.968653554,259.856880247,-1.13076379944
224.485335315,259.846594196,-1.14048819944
224.99341419,259.836914761,-1.09141259946
225.492884168,259.827537342,-1.07558699947
226.000798876,259.817989911,-1.07817255504
226.517501546,259.808814121,-1.01737195507
227.016988801,259.800407101,-0.964271355095
227.507860198,259.79191029,-0.991670755082
228.024563045,259.782744436,-1.01627015507
228.532648817,259.773434058,-1.04979455506
229.040567772,259.764115272,-1.0523801106
229.557262359,259.754495047,-1.06665451059
230.056736426,259.745338032,-1.0503039106
230.538991551,259.736734558,-1.02205331061
231.029691621,259.72797238,-1.02393164396
231.520391404,259.719194115,-1.02580997728
232.011260668,259.710574889,-1.00595937729
232.502121118,259.701467551,-1.06293377726
233.044642328,259.690939945,-1.11168317724
233.535489733,259.681154752,-1.14205757723
234.026170375,259.671364838,-1.14393591058
234.499789585,259.661652036,-1.17483531057
234.982026135,259.652063745,-1.13905971058
235.481481727,259.641949088,-1.16015911058
235.963701103,259.631532837,-1.23743351054
236.445907004,259.620510414,-1.30945791051
236.936556949,259.609286928,-1.31133624383
