285,-375
285.0,-375.0,0.0
285.120582923,-375.000100997,-0.047989549978
285.249778524,-375.000435802,-0.148479099932
285.439263298,-375.00145538,-0.30829364986
285.628748002,-375.002487822,-0.316073094302
285.826679037,-375.0035622,-0.30592864986
286.067842329,-375.004690216,-0.267993199878
286.317618597,-375.005858519,-0.267993199878
286.593232759,-375.007351591,-0.310382749858
286.90329647,-375.009400857,-0.378672299827
287.230580198,-375.012305929,-0.508561849767
287.557859641,-375.015659059,-0.587001399731
287.91098045,-375.018915843,-0.528415949758
288.298385516,-375.022480829,-0.526050949738
288.685952803,-375.026497734,-0.593815499707
289.064907484,-375.030425375,-0.593815499707
289.831423909,-375.038887854,-0.632530049689
290.253434228,-375.04392493,-0.683844599666
290.684057003,-375.049064803,-0.683844599666
291.476401301,-375.058655822,-0.693509149661
291.898404411,-375.064264483,-0.76144869963
292.329015032,-375.070337756,-0.808038249609
292.751011711,-375.076411014,-0.824527799602
293.181624847,-375.08230338,-0.78396734962
293.612236158,-375.088327566,-0.801506899612
294.042848344,-375.094288919,-0.793146449616
294.47345788,-375.100438646,-0.818210999605
294.912674847,-375.107036318,-0.860600549585
295.343272169,-375.113988914,-0.925040099556
295.773862529,-375.121360033,-0.98072964953
296.238907764,-375.128860956,-0.924069199556
296.686736439,-375.135613852,-0.863908749584
297.134565114,-375.142366748,-0.863908749584
297.582391215,-375.149288193,-0.885473299574
298.030216121,-375.156286545,-0.895312849569
298.469262409,-375.163146778,-0.895069516257
298.908308727,-375.170005145,-0.89482618291
299.364579067,-375.177133449,-0.895290071819
299.820849349,-375.184265446,-0.895753960729
300.268675999,-375.191151291,-0.880918510736
300.725106242,-375.19869963,-0.947458060706
301.396814151,-375.210937374,-1.04374761066
301.853212037,-375.22023865,-1.16751216061
302.309590862,-375.230432374,-1.27955171055
302.78319153,-375.241010768,-1.27955171055
303.721789487,-375.261634723,-1.25876626056
304.204014792,-375.27177279,-1.20438081059
304.669022887,-375.281301976,-1.1739703606
305.16847832,-375.291424485,-1.16105991061
305.685148665,-375.302268833,-1.20239946059
306.150144225,-375.312391233,-1.24706401057
306.606521877,-375.322637345,-1.28612856055
307.071489229,-375.333981764,-1.3976431105
307.545061412,-375.345766578,-1.42550766049
308.018628761,-375.357744095,-1.44882221048
308.500799905,-375.370194498,-1.47913676046
308.974194146,-375.382423109,-1.48030787156
309.447588136,-375.394661396,-1.48147898269
309.895325338,-375.405953916,-1.44476853271
310.343059551,-375.417364354,-1.4598580827
310.790783077,-375.42918672,-1.51257263268
311.247107441,-375.441581018,-1.55583718266
311.712041698,-375.454209171,-1.55583718266
312.159746668,-375.466714521,-1.59997673264
312.607454103,-375.479131297,-1.58864128264
313.06377356,-375.491704941,-1.57835583265
313.528687832,-375.505048652,-1.64402038262
313.976385043,-375.517828724,-1.63513493262
314.424079385,-375.530708925,-1.64794948262
316.920754381,-375.605333578,-1.71203903259
317.394257047,-375.619641603,-1.73080358258
317.850541435,-375.633429337,-1.73080358258
318.487623295,-375.65249572,-1.71421813259
318.943745039,-375.666148234,-1.71468202167
319.399866672,-375.679804441,-1.7151459104
319.856142004,-375.693888674,-1.76803546038
320.329626655,-375.708780937,-1.80150001036
320.785882537,-375.723481764,-1.84546456034
321.259342534,-375.739138242,-1.89397911032
321.715565154,-375.754837448,-1.97084366029
322.171759739,-375.771331213,-2.07063321024
322.610736849,-375.787273936,-2.07994776024
323.05832663,-375.803383293,-2.06126231025
323.540357306,-375.820425934,-2.02490186026
323.987939637,-375.83674097,-2.08759141023
324.418307263,-375.852428505,-2.08759141023
325.365035927,-375.889072949,-2.21660596017
325.795358883,-375.905941423,-2.24482051016
326.234285074,-375.923229348,-2.25553506016
326.68181766,-375.940856252,-2.25553506016
327.396132574,-375.969393443,-2.28777461014
327.843648576,-375.987436498,-2.30881416013
328.721452968,-376.023209969,-2.33370371012
329.186192907,-376.041652384,-2.27249326015
329.650924735,-376.060298102,-2.29755781014
330.11564264,-376.07928764,-2.33994736012
330.580360546,-376.098277178,-2.33994736012
331.096702865,-376.119641974,-2.36938691011
331.535609791,-376.137412256,-2.31850146013
331.99156218,-376.155874516,-2.31896534886
332.430466884,-376.173699595,-2.32565489886
332.886416965,-376.192218781,-2.32611878724
333.351134104,-376.211227064,-2.34225833724
333.798631108,-376.2297353,-2.36837288722
334.254752312,-376.248147016,-2.31153743725
335.605878298,-376.303315592,-2.33817698724
336.070568818,-376.322963869,-2.4211665372
336.543848165,-376.343363743,-2.46810608718
337.00850593,-376.363771968,-2.51487063716
337.929198908,-376.404613258,-2.53993518715
338.411050218,-376.426138589,-2.55782473714
338.875692553,-376.446895158,-2.55782473714
339.331563848,-376.467261755,-2.55828862622
339.787605242,-376.487554377,-2.54782817623
340.25223974,-376.508485649,-2.57936772622
340.716859274,-376.529746477,-2.6200072762
341.164223508,-376.551225897,-2.74884682614
341.620173696,-376.573473823,-2.79351137612
342.093336354,-376.596421437,-2.77657592613
342.566509114,-376.619159823,-2.75124047614
343.031096031,-376.641121847,-2.70648002616
343.478486485,-376.662048038,-2.67799457617
343.934314061,-376.683370716,-2.6784584649
344.390283124,-376.705228394,-2.74447301487
344.846248962,-376.727153236,-2.75291256487
345.775053372,-376.771827518,-2.75454756456
346.222421482,-376.793226049,-2.73848711456
346.652559264,-376.814294539,-2.80415166453
347.108487418,-376.836989524,-2.84969121451
347.573006547,-376.860341465,-2.8779057645
348.03751412,-376.88392215,-2.90612031449
348.493402525,-376.907402052,-2.94833486447
348.957909417,-376.930996147,-2.90777441449
349.422426483,-376.954389097,-2.8829639645
349.886936006,-376.977931339,-2.90137851449
350.351451753,-377.001350468,-2.8861930645
350.833146667,-377.026130188,-2.94485761447
351.289013194,-377.050031091,-3.00124716444
351.736242411,-377.074158897,-3.0880867144
352.200684772,-377.098990887,-3.06047626442
352.682334805,-377.124628166,-3.04686581442
353.146763946,-377.149706205,-3.0908303644
353.602578852,-377.174572143,-3.12254491439
354.058364185,-377.199974379,-3.18995946436
354.522707939,-377.226586657,-3.28012401432
354.9870242,-377.253674358,-3.33878856429
355.425378815,-377.279246552,-3.33854523115
355.889695192,-377.306332281,-3.33854523115
356.354017907,-377.333309131,-3.32510978115
356.809575592,-377.359778588,-3.32557367024
357.273893366,-377.386840354,-3.33558822024
357.738194586,-377.414184653,-3.37045277022
358.211053578,-377.442713044,-3.45256732018
358.675310573,-377.470798211,-3.46188187018
359.139563082,-377.498957434,-3.47102142017
359.578034212,-377.5253798,-3.44848597018
360.033675172,-377.55325199,-3.50050052016
360.506493425,-377.582447791,-3.53344007015
360.970703455,-377.61129882,-3.55640462014
361.41772474,-377.639013333,-3.54769417014
361.873350746,-377.667128929,-3.53110872015
362.328810319,-377.695236106,-3.53157260888
362.79306014,-377.723439616,-3.4764871589
363.248546302,-377.751112579,-3.47695104799
363.704032239,-377.778789229,-3.47741493672
364.168310037,-377.806528379,-3.41917948675
364.641018945,-377.83477611,-3.4203505984
