x:0.990152151455     ,y:-0.139995417669     ,angle:1.7112531136     ,degrees:98.0445358904
x:0.990819833423     ,y:-0.135188970319     ,angle:1.70640050795     ,degrees:97.7665107026
x:0.991126433385     ,y:-0.13292250767     ,angle:1.70411340088     ,degrees:97.6354731901
x:0.991470028369     ,y:-0.130334887298     ,angle:1.70150306746     ,degrees:97.485916747
x:0.991955518423     ,y:-0.126586924559     ,angle:1.69772378945     ,degrees:97.2693867927
x:0.992535742941     ,y:-0.121954085561     ,angle:1.69305475344     ,degrees:97.0018790434
x:0.993510360027     ,y:-0.11374165692     ,angle:1.68478467167     ,degrees:96.5280529786
x:0.994872015373     ,y:-0.101141846077     ,angle:1.67211141288     ,degrees:95.8019512898
x:0.996330988216     ,y:-0.0855836545157     ,angle:1.65648480431     ,degrees:94.9066403782
x:0.997742356614     ,y:-0.0671579468031     ,angle:1.63800485885     ,degrees:93.8478503828
x:0.998883012947     ,y:-0.0472517348528     ,angle:1.6180656627     ,degrees:92.705454079
x:0.999654631395     ,y:-0.0262796105632     ,angle:1.59707896316     ,degrees:91.5030421153
x:0.999985750964     ,y:-0.00533833946804     ,angle:1.57613469162     ,degrees:90.3030610216
x:0.999869822216     ,y:0.0161350123036     ,angle:1.55466061431     ,degrees:89.0727252366
x:0.999311640092     ,y:0.0370977893815     ,angle:1.53369002286     ,degrees:87.8712361697
x:0.998283638907     ,y:0.058564291935     ,angle:1.51219850602     ,degrees:86.6399012037
x:0.996755989478     ,y:0.080482901538     ,angle:1.49022628304     ,degrees:85.3810246607
x:0.99481146078     ,y:0.101735723817     ,angle:1.46888428372     ,degrees:84.1582561517
x:0.992473526515     ,y:0.122459377622     ,angle:1.44802879215     ,degrees:82.9633616176
x:0.989757240487     ,y:0.142760656007     ,angle:1.42754624394     ,degrees:81.7898345006
x:0.986680906233     ,y:0.162667726596     ,angle:1.40740253494     ,degrees:80.6357208369
x:0.983281273535     ,y:0.182093209966     ,angle:1.38768149259     ,degrees:79.5058234366
x:0.979610228383     ,y:0.200907442487     ,angle:1.3685121637     ,degrees:78.4075359071
x:0.975618648801     ,y:0.219472668255     ,angle:1.3495223993     ,degrees:77.3195363456
x:0.971393614472     ,y:0.237475147672     ,angle:1.33103051123     ,degrees:76.2600621106
x:0.967279269553     ,y:0.253714041181     ,angle:1.31427831557     ,degrees:75.3002618124
x:0.962900063753     ,y:0.269858235421     ,angle:1.29755052504     ,degrees:74.3418597819
x:0.958614420425     ,y:0.284707556894     ,angle:1.28209498099     ,degrees:73.456349841
x:0.954266914344     ,y:0.298955943557     ,angle:1.26719795325     ,degrees:72.6028395332
x:0.948891137139     ,y:0.315603564396     ,angle:1.24970366659     ,degrees:71.6005218735
x:0.9432295874     ,y:0.332141453981     ,angle:1.23222331425     ,degrees:70.5990025664
x:0.937032490092     ,y:0.349242197496     ,angle:1.21403407112     ,degrees:69.5568680709
x:0.931027465599     ,y:0.364949117414     ,angle:1.19721817638     ,degrees:68.5934181977
x:0.925016332148     ,y:0.37992734208     ,angle:1.1810785793     ,degrees:67.6687161226
x:0.918754079554     ,y:0.394830268981     ,angle:1.1649132235     ,degrees:66.742538227
x:0.912447054541     ,y:0.409194785718     ,angle:1.14922491723     ,degrees:65.8436924077
x:0.905281906957     ,y:0.424811333343     ,angle:1.1320428579     ,degrees:64.8592635008
x:0.898476267999     ,y:0.439022090381     ,angle:1.11628635215     ,degrees:63.9565102601
x:0.891857564578     ,y:0.452316354453     ,angle:1.10143546849     ,degrees:63.1056437314
x:0.884882788493     ,y:0.46581375101     ,angle:1.08624232347     ,degrees:62.2351676808
x:0.877601556441     ,y:0.479390767675     ,angle:1.07083594763     ,degrees:61.3524747834
x:0.870175304859     ,y:0.492742264084     ,angle:1.05555798281     ,degrees:60.4771390668
x:0.862875969176     ,y:0.505415731669     ,angle:1.0409326317     ,degrees:59.6391942009
x:0.855686027527     ,y:0.51749533553     ,angle:1.0268750592     ,degrees:58.8337796419
x:0.848736319156     ,y:0.528816282413     ,angle:1.01359105078     ,degrees:58.0726856635
x:0.842073762165     ,y:0.539362381959     ,angle:1.00111660093     ,degrees:57.3579745334
x:0.83500794112     ,y:0.550237892431     ,angle:0.988147217255     ,degrees:56.6149066654
x:0.827427584127     ,y:0.561572429012     ,angle:0.974511366982     ,degrees:55.8336542599
x:0.820214053559     ,y:0.572056733502     ,angle:0.961785100847     ,degrees:55.1045155679
x:0.81312748107     ,y:0.582085646214     ,angle:0.94950501555     ,degrees:54.4009403609
x:0.806340616806     ,y:0.591451443221     ,angle:0.937938634459     ,degrees:53.7382561227
x:0.79886502309     ,y:0.601510328161     ,angle:0.925405968203     ,degrees:53.0202095422
x:0.793115565817     ,y:0.609071177498     ,angle:0.91590736936     ,degrees:52.4759968201
x:0.787474191019     ,y:0.616347627949     ,angle:0.906700174367     ,degrees:51.9484797902
x:0.781417315472     ,y:0.624008797278     ,angle:0.896933905121     ,degrees:51.38893116
x:0.774728195109     ,y:0.632294412203     ,angle:0.88628511094     ,degrees:50.7788191462
x:0.768164460988     ,y:0.640252575844     ,angle:0.875969301819     ,degrees:50.1877851784
x:0.762790456099     ,y:0.646645745431     ,angle:0.867617478582     ,degrees:49.7092758179
x:0.757559286443     ,y:0.65276636519     ,angle:0.85956592765     ,degrees:49.2479702588
x:0.752367883101     ,y:0.658743173382     ,angle:0.851649284918     ,degrees:48.7943941301
x:0.748131266653     ,y:0.663550757559     ,angle:0.84524132697     ,degrees:48.4272565874
x:0.743876711129     ,y:0.668316869936     ,angle:0.838852492278     ,degrees:48.0612146926
x:0.740231134698     ,y:0.672352487333     ,angle:0.833414063443     ,degrees:47.7496253509
x:0.73704900351     ,y:0.675839305179     ,angle:0.828693480961     ,degrees:47.4791642982
x:0.734484389431     ,y:0.678625582838     ,angle:0.824906581741     ,degrees:47.2621976942
x:0.732240824061     ,y:0.681045795508     ,angle:0.821606426469     ,degrees:47.0731185981
x:0.730362124564     ,y:0.683060148891     ,angle:0.818851950811     ,degrees:46.9153036698
x:0.729296161269     ,y:0.684198150508     ,angle:0.817292679853     ,degrees:46.8259667995
x:0.728731001208     ,y:0.684800064164     ,angle:0.816467024972     ,degrees:46.7786617288
x:0.728456249717     ,y:0.685092323886     ,angle:0.816065896403     ,degrees:46.7556794685
x:0.727846595889     ,y:0.685739989248     ,angle:0.815176431247     ,degrees:46.7047184519
x:0.726993994184     ,y:0.686643817725     ,angle:0.813933919363     ,degrees:46.633529976
x:0.725810941711     ,y:0.687894233798     ,angle:0.812212537871     ,degrees:46.5349051448
x:0.724742912043     ,y:0.689019383939     ,angle:0.810661199516     ,degrees:46.446022765
x:0.723439671731     ,y:0.690387602268     ,angle:0.808771634018     ,degrees:46.3377619994
x:0.722520617473     ,y:0.691349374287     ,angle:0.807441345926     ,degrees:46.2615444735
x:0.721817980866     ,y:0.692082944811     ,angle:0.806425558545     ,degrees:46.2033459513
x:0.721180009605     ,y:0.692747712912     ,angle:0.805504187817     ,degrees:46.1505569368
x:0.721094538349     ,y:0.692836681162     ,angle:0.805380815677     ,degrees:46.1434884534
x:0.720790767217     ,y:0.693152703158     ,angle:0.804942470144     ,degrees:46.1183738845
x:0.719606023038     ,y:0.694382583024     ,angle:0.803234774632     ,degrees:46.0205331778
x:0.71705662215     ,y:0.697014921383     ,angle:0.799570260319     ,degrees:45.8105784947
x:0.714257227174     ,y:0.699883285577     ,angle:0.795562249979     ,degrees:45.5809435503
x:0.711665589554     ,y:0.702518390253     ,angle:0.791866255152     ,degrees:45.3691852227
x:0.709110046745     ,y:0.705097824139     ,angle:0.788235237016     ,degrees:45.1611496696
x:0.707406983391     ,y:0.706806451478     ,angle:0.785822803598     ,degrees:45.0229317094
x:0.706058426423     ,y:0.708153583961     ,angle:0.783916662752     ,degrees:44.9137212757
x:0.705057138299     ,y:0.709150500059     ,angle:0.782503715498     ,degrees:44.8327678757
x:0.704219391324     ,y:0.709982428574     ,angle:0.781323069399     ,degrees:44.7651239381
x:0.703016045156     ,y:0.711173987329     ,angle:0.779629595174     ,degrees:44.6680980259
x:0.701759026059     ,y:0.712414394397     ,angle:0.777863608901     ,degrees:44.5669176084
x:0.700624841104     ,y:0.71352983962     ,angle:0.776272824789     ,degrees:44.4757752235
x:0.699431410916     ,y:0.714699728154     ,angle:0.774601622992     ,degrees:44.3800253877
x:0.699010276033     ,y:0.715111623455     ,angle:0.77401254546     ,degrees:44.3462747796
x:0.698844515082     ,y:0.715273614598     ,angle:0.773780774401     ,degrees:44.3329956885
x:0.698769590555     ,y:0.715346810516     ,angle:0.773676030298     ,degrees:44.3269944799
x:0.698960260191     ,y:0.715160509727     ,angle:0.773942606543     ,degrees:44.3422676993
x:0.699779291585     ,y:0.71435911352     ,angle:0.775088489805     ,degrees:44.4079199349
x:0.701419097057     ,y:0.712749079469     ,angle:0.777386570299     ,degrees:44.5395861587
x:0.70316607678     ,y:0.711025645434     ,angle:0.779840580496     ,degrees:44.6801862189
x:0.705321677051     ,y:0.708887390128     ,angle:0.782876820829     ,degrees:44.8541445726
x:0.708055702311     ,y:0.706156584919     ,angle:0.786741042587     ,degrees:45.075541294
