800,600
800.0,600.0,0
802.268402206,600.018241692,0.0160829493088
805.234007052,600.089799083,0.0321658986175
808.722201752,600.202038712,0.0321658986175
812.73241479,600.36336579,0.0482488479263
816.915541006,600.565353574,0.0482488479263
821.271084379,600.810787798,0.064331797235
826.146977314,601.124896194,0.064331797235
840.244324051,602.146952399,0.0804147465438
844.242089379,602.501504828,0.0964976958525
849.105358286,602.972261176,0.0964976958525
854.138177536,603.500312923,0.112580645161
857.259293404,603.853182224,0.112580645161
863.530737304,603.954054236,-0.0804147465438
865.952604162,603.640717202,-0.176912442396
869.554566291,602.966818383,-0.192995391705
873.156528421,602.292919564,-0.176912442396
877.279161139,601.555869044,-0.176912442396
880.714688404,600.941660276,-0.176912442396
885.359117972,600.149809434,-0.160829493088
889.148574872,599.5350433,-0.160829493088
892.77034661,598.977333444,-0.144746543779
896.914550585,598.373249504,-0.144746543779
902.440155886,597.567804249,-0.144746543779
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.341727234,597.306218242,-0.12866359447
904.514597357,597.282437696,-0.144746543779
909.38612571,595.95846147,-0.38599078341
911.768832657,594.87664696,-0.466405529954
913.751858776,593.776225613,-0.546820276498
915.774146056,592.407294157,-0.64331797235
917.532556332,590.975053592,-0.723732718894
919.170235089,589.406191577,-0.804147465438
922.416673127,585.309741093,-0.997142857143
923.675605877,583.216590531,-1.06147465438
924.700910353,581.193703864,-1.14188940092
925.737823941,578.602559891,-1.23838709677
926.768855581,574.727375851,-1.38313364055
927.246100943,568.999205275,-1.59221198157
927.246100943,568.999205275,-1.59221198157
927.138172066,565.336334522,-1.60829493088
927.030243189,561.673463768,-1.59221198157
926.981235495,558.009330986,-1.57612903226
926.95518002,553.12340046,-1.57612903226
926.940291177,550.331440159,-1.57612903226
926.650291205,545.631366075,-1.68870967742
926.188677371,542.878889091,-1.78520737327
925.645180918,540.857492024,-1.88170506912
924.865149532,538.727968423,-1.96211981567
923.916578235,536.667984872,-2.04253456221
902.148845424,522.016062144,-3.05576036866
902.148845424,522.016062144,-3.05576036866
900.755095607,521.941192738,-3.1200921659
897.963735804,521.970964866,-3.18442396313
895.531805696,522.193079975,-3.28092165899
893.132589982,522.648473353,-3.37741935484
890.777200569,523.295258989,-3.44175115207
883.24296475,526.887481764,-3.73124423963
883.098718321,526.985678307,-3.74732718894
882.81181097,527.184387069,-3.74732718894
879.368922759,529.568892211,-3.74732718894
876.49984925,531.555979829,-3.74732718894
873.05696104,533.94048497,-3.74732718894
869.739293157,536.199005471,-3.73124423963
862.886364317,540.704615162,-3.71516129032
862.74055732,540.800479198,-3.73124423963
859.678610392,542.813623954,-3.71516129032
856.45396607,544.896792214,-3.71516129032
852.936172265,547.169339406,-3.71516129032
848.958266324,549.694021187,-3.69907834101
845.404379782,551.909700416,-3.69907834101
841.850493239,554.125379644,-3.69907834101
837.534869984,556.768011699,-3.68299539171
832.151279914,560.005368948,-3.68299539171
827.493193607,562.755694646,-3.6669124424
824.400066984,564.718828151,-3.74732718894
822.336606232,566.326995642,-3.8599078341
820.217577012,568.400771582,-3.97248847926
818.532405781,570.402723868,-4.05290322581
817.130958763,572.402615222,-4.14940092166
815.928717225,574.528229123,-4.24589861751
814.936867522,576.759787623,-4.34239631336
814.054319953,579.407489772,-4.43889400922
813.508896681,581.787853741,-4.53539170507
813.004616747,586.992842253,-4.69622119816
813.004616747,586.992842253,-4.69622119816
813.059130616,589.260075803,-4.7766359447
813.415650879,592.203496396,-4.88921658986
813.960670277,594.583952871,-4.98571428571
814.842768608,597.23180472,-5.08221198157
816.212456561,600.249235704,-5.19479262673
818.141060792,603.361408026,-5.33953917051
819.544685813,605.14274363,-5.41995391705
822.635750772,608.698453291,-5.43603686636
825.268880181,611.72739115,-5.41995391705
828.527063869,615.599386412,-5.40387096774
832.087865971,619.900751822,-5.40387096774
833.868267023,622.051434527,-5.40387096774
837.456378427,625.858388187,-5.53253456221
841.489483185,628.899699504,-5.74161290323
841.489483185,628.899699504,-5.74161290323
846.381629583,631.185120817,-5.95069124424
848.553331545,631.838596386,-6.03110599078
851.286471935,632.403539297,-6.12760368664
854.232456051,632.74494619,-6.20801843318
856.67362362,632.810673478,-6.30451612903
859.805807785,632.592384755,-6.40101382488
862.558323919,632.131004423,-6.49751152074
865.428472309,631.384258613,-6.57792626728
868.212600111,630.364717604,-6.69050691244
872.524222236,628.077471115,-6.85133640553
874.801512527,626.464038188,-6.94783410138
877.512608626,624.003329188,-7.09258064516
878.348219254,623.11238308,-7.10866359447
